Year,Africa,Asia,Americas,Oceania
1989,36076,11392,0,3798
1990,39873,26583,0,3797
1991,155696,51266,385443,3798
1992,89241,18987,353164,3798
1993,79747,89240,206962,1899
1994,165190,106329,108228,3797
1995,72152,49367,85443,3797
1997,119620,11393,15190,3797
1998,212658,24684,55063,1899
1999,206962,43671,1899,3797
2000,119620,11393,3797,5696
2001,174684,7594,1899,3798
2002,138608,3797,0,3798
2003,104430,5697,0,5696
2004,96835,1899,0,5696
2005,125316,3798,0,5696
2006,233544,1899,0,3798
2007,168987,3798,0,7595
2008,180380,7595,0,7595
2009,218354,1899,0,3798
2010,115823,15190,178481,11392
2011,187975,37974,364557,3798
2012,115823,9493,119621,3797
