EPIWEEK,Cases,Deaths,CFR (%)
2022 W1,853,0,0.5
2022 W2,588,0,0.7
2022 W3,390,0,1.6
2022 W4,338,0,1.2
2022 W5,397,0,0.7
2022 W6,353,0,1.7
2022 W7,294,0,1.2
2022 W8,279,0,1.9
2022 W9,338,0,0.4
2022 W10,272,0,0.4
2022 W11,221,0,0.6
2022 W12,176,0,1.2
2022 W13,169,0,2.2
2022 W14,169,0,3.1
2022 W15,228,0,0.5
2022 W16,154,0,1.2
2022 W17,191,0,2.7
2022 W18,206,0,0.4
2022 W19,235,0,1.4
2022 W20,184,0,0.6
2022 W21,221,0,1.5
2022 W22,279,0,3.5
2022 W23,191,0,1.8
2022 W24,206,0,0.7
2022 W25,154,0,0.6
2022 W26,118,0,1.8
2022 W27,88,0,0.7
2022 W28,96,0,1.3
2022 W29,96,0,2.4
2022 W30,96,0,2
2022 W31,147,0,0.7
2022 W32,272,0,4.3
2022 W33,294,1,4.2
2022 W34,279,0,0.7
2022 W35,176,0,5.7
2022 W36,272,0,2.6
2022 W37,309,0,2.8
2022 W38,309,0,2.2
2022 W39,331,0,1.8
2022 W40,559,0,1.7
2022 W41,419,0,1.2
2022 W42,441,0,0.5
2022 W43,419,0,1.4
2022 W44,507,0,1.3
2022 W45,397,0,1.4
2022 W46,441,0,1.1
2022 W47,412,0,0.7
2022 W48,507,0,1.8
2022 W49,787,0,0.7
2022 W50,1000,0,0.5
2022 W51,882,0,0.2
2022 W52,1007,0,0.4
2023 W1,1265,0,0.4
2023 W2,750,0,0.4
2023 W3,691,0,0.3
2023 W4,618,0,0.2
2023 W5,515,0,0.8
2023 W6,485,0,1
2023 W7,625,0,0.3
2023 W8,588,0,0.7
2023 W9,625,0,0.5
2023 W10,1360,0,0.5
2023 W11,1949,0,0.4
2023 W12,2051,0,0.2
2023 W13,1728,0,0.2
2023 W14,1390,0,0.4
2023 W15,1191,0,0.6
2023 W16,1176,0,0.8
2023 W17,978,0,0.4
2023 W18,1007,0,0.4
2023 W19,1000,0,0.2
2023 W20,1044,0,0.3
2023 W21,1154,0,0.9
2023 W22,1125,0,0.9
2023 W23,941,0,0.7
2023 W24,853,0,1.2
2023 W25,846,0,0.5
2023 W26,1051,0,0.6
2023 W27,1007,0,0.5
2023 W28,846,0,0.5
2023 W29,897,0,0.6
2023 W30,904,0,1.2
2023 W31,993,0,0.8
