Epidemiological week,2016,2017,2018
1,1352,558,150
2,1294,451,96
3,1187,398,79
4,1112,371,96
5,1006,283,87
6,802,287,79
7,824,300,61
8,704,469,79
9,757,349,52
10,735,300,70
11,704,309,79
12,624,318,70
13,686,318,96
14,695,327,92
15,584,221,96
16,593,203,110
17,655,247,132
18,802,380,176
19,713,349,203
20,881,292,158
21,695,247,176
22,855,269,176
23,904,176,176
24,890,167,167
25,802,167,167
26,757,185,96
27,615,176,70
28,584,176,61
29,997,221,61
30,855,212,30
31,704,229,16
32,802,283,30
33,793,283,25
34,704,247,56
35,624,247,30
36,655,362,21
37,584,336,0
38,589,309,0
39,504,349,0
40,735,292,0
41,1201,300,0
42,1494,292,0
43,1201,221,0
44,1085,247,0
45,1103,203,0
46,904,247,0
47,802,283,0
48,793,283,0
49,739,212,0
50,686,221,0
51,504,176,0
52,451,167,0
