Date of onset of disease,Alive,Died
09/01/22,2,0
09/02/22,0,0
09/03/22,2,0
09/04/22,2,0
09/05/22,2,0
09/06/22,4,0
09/07/22,0,0
09/08/22,1,0
09/09/22,2,0
09/10/22,2,0
09/11/22,0,0
09/12/22,2,0
09/14/22,1,0
09/15/22,1,1
09/16/22,0,0
09/17/22,1,0
09/18/22,1,0
09/19/22,3,0
09/20/22,4,0
09/21/22,3,0
09/22/22,5,0
09/23/22,4,0
09/24/22,5,0
09/25/22,8,0
09/26/22,5,1
09/27/22,7,0
09/28/22,8,0
09/29/22,4,0
09/30/22,4,0
10/01/22,8,0
10/02/22,17,0
10/03/22,10,0
10/04/22,3,0
10/05/22,3,0
10/06/22,5,1
10/07/22,5,0
10/09/22,11,1
10/10/22,8,0
10/11/22,1,1
10/12/22,5,0
10/13/22,10,0
10/14/22,14,0
10/15/22,14,1
10/16/22,8,1
10/17/22,6,0
10/18/22,7,0
10/19/22,7,1
10/20/22,6,0
10/21/22,6,1
10/22/22,5,1
10/23/22,5,0
10/24/22,5,0
10/25/22,3,0
10/26/22,4,1
10/27/22,6,0
10/28/22,7,0
10/29/22,10,0
10/30/22,5,0
10/31/22,0,1
11/01/22,7,1
11/03/22,8,0
11/04/22,9,0
11/05/22,6,0
11/06/22,5,0
11/07/22,5,0
11/08/22,4,1
11/09/22,1,0
11/10/22,1,0
11/11/22,8,0
11/12/22,7,0
11/13/22,4,0
11/14/22,7,0
11/15/22,5,0
11/16/22,8,0
11/17/22,6,0
11/18/22,8,0
11/19/22,6,0
11/20/22,14,0
11/21/22,5,0
11/22/22,12,0
11/23/22,7,0
11/24/22,12,0
11/25/22,12,0
11/26/22,6,0
11/28/22,3,0
11/29/22,0,0
11/30/22,3,0
12/01/22,7,1
12/02/22,6,0
12/03/22,10,0
12/04/22,8,0
12/05/22,6,0
12/06/22,3,1
12/07/22,13,1
12/08/22,4,0
12/09/22,10,0
12/10/22,8,0
12/11/22,7,0
12/12/22,5,0
12/13/22,5,0
12/14/22,12,1
12/15/22,14,0
12/16/22,10,0
12/17/22,8,0
12/18/22,5,1
12/19/22,4,0
12/20/22,7,0
12/22/22,4,0
12/23/22,10,0
12/24/22,7,1
12/25/22,5,0
12/26/22,24,0
12/27/22,5,0
12/28/22,9,0
12/29/22,15,0
12/30/22,10,0
12/31/22,8,0
01/01/23,15,0
01/02/23,8,0
01/03/23,8,0
01/04/23,12,0
01/05/23,10,0
01/06/23,7,0
01/07/23,5,1
01/08/23,10,1
01/09/23,1,0
01/10/23,7,0
01/11/23,1,0
01/12/23,1,0
01/13/23,5,0
01/14/23,8,0
01/16/23,7,0
01/17/23,2,0
01/18/23,21,0
01/19/23,14,0
01/20/23,5,0
01/21/23,17,0
01/22/23,6,1
01/23/23,15,0
01/24/23,5,1
01/25/23,6,0
01/26/23,13,0
01/27/23,5,0
01/28/23,6,0
01/29/23,12,0
01/30/23,11,0
01/31/23,4,0
02/01/23,7,0
02/02/23,10,0
02/03/23,2,0
02/04/23,6,0
02/05/23,14,0
02/06/23,12,0
02/07/23,28,1
02/08/23,14,0
02/10/23,17,1
02/11/23,25,1
02/12/23,6,1
02/13/23,15,1
02/14/23,19,1
02/15/23,9,1
02/16/23,20,0
02/17/23,16,0
02/18/23,12,0
02/19/23,15,0
02/20/23,30,0
02/21/23,19,0
02/22/23,24,0
02/23/23,18,0
02/24/23,24,0
02/25/23,23,0
02/26/23,26,0
02/27/23,21,0
02/28/23,15,0
03/01/23,17,0
03/02/23,25,1
03/03/23,21,0
03/04/23,35,1
03/05/23,23,0
03/07/23,21,0
03/08/23,20,0
03/09/23,19,0
03/10/23,23,0
03/11/23,24,0
03/12/23,17,0
03/13/23,20,0
03/14/23,13,0
03/15/23,34,1
03/16/23,61,1
03/17/23,94,2
03/18/23,72,0
03/19/23,43,0
03/20/23,31,1
03/21/23,39,0
03/22/23,26,0
03/23/23,40,0
03/24/23,45,2
03/25/23,52,1
03/26/23,36,1
03/27/23,49,1
03/28/23,56,0
03/29/23,37,0
03/30/23,76,1
04/01/23,79,1
04/02/23,80,1
04/03/23,83,0
04/04/23,103,1
04/05/23,37,1
04/06/23,48,0
04/07/23,43,0
04/08/23,101,0
04/09/23,55,0
04/10/23,13,0
04/11/23,6,0
