Year,Number,Incidence/100000
1965,5073,19.5
1966,162,0.3
1967,221,0.6
1968,750,2.5
1969,577,1.9
1970,19663,66.3
1971,344,1.3
1972,322,1
1973,55,0
1974,304,0.8
1975,3966,11.3
1976,210,0.7
1977,10836,29.6
1978,264,1.1
1979,1856,4.6
1980,1632,3.9
1981,6107,14.4
1982,343,0.8
1983,270,0.5
1984,576,1.1
1985,1888,3.7
1986,71,0
1987,309,0.6
1988,2485,4.3
1989,5220,9.5
1990,178,0
1991,1889,3.2
1992,142,0
1993,1432,2.3
1994,15,0
1995,2148,3.2
1996,62,0
1997,1114,1.6
1998,9756,15.3
1999,1245,1.8
2000,345,0.3
2001,105,0
2002,118,0
2003,96,0
2004,94,0
2005,1133,1.3
2006,24,0
2007,57,0
2008,220,0
2009,18,0
2010,15,0
2011,1187,1.6
2012,53,0
2013,256,0
2014,9,0
