Week,2020,2021,2022
WK1,,5247,3632
WK2,,5650,16951
WK3,,5650,39955
WK4,,6054,49238
WK5,,9081,44798
WK6,,15336,27444
WK7,,24215,15942
WK8,,27646,10493
WK9,,31076,6659
WK10,,31883,4641
WK11,,35919,3430
WK12,,38744,2018
WK13,,41166,2422
WK14,,51256,1614
WK15,,52265,1413
WK16,,54484,1211
WK17,,43789,1211
WK18,202,37735,605
WK19,208,26637,1009
WK20,214,28655,1009
WK21,624,29462,807
WK22,1236,27848,1009
WK23,4883,29664,1413
WK24,7922,33094,2422
WK25,10557,38139,7466
WK26,14608,54484,17152
WK27,15221,58117,29260
WK28,17047,62152,19978
WK29,15232,60942,24821
WK30,17664,83341,15135
WK31,19289,76682,6457
WK32,20913,63161,3027
WK33,26783,49238,
WK34,27396,49238,
WK35,29227,42982,
WK36,30043,33700,
WK37,28834,24417,
WK38,30458,18767,
WK39,33699,15942,
WK40,23391,14126,
WK41,24408,11906,
WK42,25425,10695,
WK43,23610,9081,
WK44,23414,7668,
WK45,20791,6457,
WK46,16347,5045,
WK47,15341,5448,
WK48,13931,4843,
WK49,11714,3229,
WK50,9696,2623,
WK51,7476,2018,
WK52,3843,1816,
