Epidemiological week,Sofala,Gaza,Niassa,Tete,Manica,Zambezia,Cabo Delgado,Inhambane,CFR,Target CFR
W49,0,0,0,0,0,0,0,0,2.5,1
W50,0,0,103,103,0,0,0,0,0,1
W51,0,0,51,52,0,0,0,0,1.1,1
W52,0,0,103,52,0,0,0,0,0,1
W1,0,0,128,52,0,0,0,0,1.2,1
W2,0,0,205,52,0,0,0,0,1,1
W3,52,0,308,103,0,0,0,0,0.3,1
W4,129,0,282,103,0,0,0,0,0.8,1
W5,129,0,231,179,0,0,0,0,0.8,1
W6,129,0,282,224,0,0,0,0,0.3,1
W7,155,0,231,179,0,0,0,0,0.9,1
W8,180,0,207,282,0,0,0,0,0.6,1
W9,361,0,179,154,0,0,0,0,0.6,1
W10,438,0,179,128,231,103,0,0,0.6,1
W11,541,0,51,154,256,948,0,77,0.7,1
W12,592,0,333,224,359,2743,128,0,0.5,1
W13,1056,0,51,128,233,3279,154,0,0.4,1
