Week of the Year (reporting),BDI,CMR,COD,ETH,KEN,MOZ,MWI,NGN,SSD,SWZ,TAN,ZAF,ZAM,ZWE
2022 Wk 01,0,134,569,0,0,0,67,0,0,0,0,0,0,0
2022 Wk 02,0,168,334,0,0,0,134,0,0,0,0,0,0,0
2022 Wk 03,0,167,335,0,0,0,0,0,0,0,0,0,0,0
2022 Wk 04,0,268,368,0,0,0,33,0,0,0,0,0,0,0
2022 Wk 05,0,167,335,0,0,0,100,0,0,0,0,0,0,0
2022 Wk 06,0,134,301,0,0,0,0,0,0,0,0,0,0,0
2022 Wk 07,0,234,268,0,0,0,0,0,0,0,0,0,0,0
2022 Wk 08,0,134,334,0,0,0,67,0,0,0,0,0,0,0
2022 Wk 09,0,134,301,0,0,0,167,0,0,0,0,0,0,0
2022 Wk 10,0,435,201,0,0,0,33,0,0,0,0,0,0,0
2022 Wk 11,0,1305,134,0,0,0,67,0,0,0,0,0,0,0
2022 Wk 12,0,1003,134,0,0,0,67,0,0,0,0,0,0,0
2022 Wk 13,0,636,167,0,0,0,67,0,0,0,0,0,0,0
2022 Wk 14,0,569,201,0,0,0,100,0,0,0,0,0,0,0
2022 Wk 15,0,435,134,0,0,0,67,0,0,0,0,0,0,0
2022 Wk 16,0,334,201,0,0,0,67,0,0,0,0,0,0,0
2022 Wk 17,0,401,201,0,0,0,67,0,0,0,0,0,0,0
2022 Wk 18,0,235,234,0,0,0,301,0,0,0,0,0,0,0
2022 Wk 19,0,334,201,0,0,0,134,0,0,0,0,0,0,0
2022 Wk 20,0,468,201,0,0,0,167,0,0,0,0,0,0,0
2022 Wk 21,0,335,268,0,0,0,100,0,0,0,0,0,0,0
2022 Wk 22,0,268,201,0,0,0,234,0,0,0,0,0,0,0
2022 Wk 23,0,200,201,0,0,0,67,0,0,0,0,0,0,0
2022 Wk 24,0,234,134,0,0,0,67,0,0,0,0,0,0,0
2022 Wk 25,0,301,134,0,0,0,67,0,0,0,0,0,0,0
2022 Wk 26,0,100,67,0,0,0,134,0,0,0,0,0,0,0
2022 Wk 27,0,134,134,0,0,0,167,0,0,0,0,0,0,0
2022 Wk 28,0,168,100,0,0,0,67,0,0,0,0,0,0,0
2022 Wk 29,0,201,100,0,0,0,67,0,0,0,0,0,0,0
2022 Wk 30,0,267,134,0,0,0,67,0,0,0,0,0,0,0
2022 Wk 31,0,168,267,0,0,0,268,0,0,0,0,0,0,0
2022 Wk 32,0,402,268,0,0,0,401,0,0,0,0,0,0,0
2022 Wk 33,0,435,267,0,0,0,201,0,0,0,0,0,0,0
2022 Wk 34,0,301,167,67,0,0,301,0,0,0,0,0,0,0
2022 Wk 35,0,301,268,67,0,0,468,0,0,0,0,0,0,0
2022 Wk 36,0,301,335,66,0,0,335,0,0,0,0,0,0,0
2022 Wk 37,0,268,335,66,0,0,335,0,0,0,0,0,0,0
2022 Wk 38,0,201,368,0,0,0,435,0,0,0,0,0,0,0
2022 Wk 39,0,268,535,67,33,0,335,0,0,0,0,0,0,0
2022 Wk 40,0,268,401,34,33,0,703,0,0,0,0,0,0,0
2022 Wk 41,0,234,435,67,34,0,602,0,0,0,0,0,0,0
2022 Wk 42,0,201,468,34,67,0,669,0,0,0,0,0,0,0
2022 Wk 43,0,167,502,67,133,0,703,0,0,0,0,0,0,0
2022 Wk 44,0,134,402,33,268,0,970,0,0,0,0,0,0,0
2022 Wk 45,0,167,402,33,335,0,1204,0,0,0,0,0,0,0
2022 Wk 46,0,134,402,33,402,0,1271,0,0,0,0,0,0,0
2022 Wk 47,0,0,468,100,335,0,669,0,0,0,0,0,0,0
2022 Wk 48,0,0,770,100,435,234,870,0,0,0,0,0,0,0
2022 Wk 49,0,0,936,67,502,268,1037,0,0,0,0,0,0,0
2022 Wk 50,0,67,837,100,368,100,1807,0,0,0,0,0,0,0
2022 Wk 51,0,0,970,100,335,167,1941,970,0,0,0,0,67,0
2022 Wk 52,0,0,1238,33,368,201,1238,0,0,0,0,67,0,0
2023 Wk 01,0,0,770,67,234,301,1840,0,0,0,0,0,67,0
2023 Wk 02,0,0,669,67,200,402,669,0,0,0,0,0,67,0
2023 Wk 03,0,0,602,67,134,535,1740,167,0,0,0,0,67,0
2023 Wk 04,0,0,535,67,134,569,3111,134,0,0,0,0,67,0
2023 Wk 05,0,0,502,134,301,669,4249,67,0,0,0,0,67,0
2023 Wk 06,0,0,0,0,0,0,2241,134,0,0,0,0,67,0
2023 Wk 07,0,0,636,134,368,635,2543,0,67,0,0,0,67,0
2023 Wk 08,0,0,602,168,368,669,2610,267,34,0,0,0,100,0
2023 Wk 09,0,0,636,167,368,837,1907,0,167,0,0,0,0,0
2023 Wk 10,0,0,1372,134,1070,937,1572,0,68,0,0,0,0,100
2023 Wk 11,0,0,0,334,502,2275,1171,0,134,0,0,0,0,67
2023 Wk 12,0,0,0,301,502,6691,970,0,68,0,0,0,0,100
2023 Wk 13,0,0,0,502,368,4751,803,0,33,0,0,0,0,134
2023 Wk 14,0,0,0,602,401,2811,401,0,134,0,0,0,0,67
2023 Wk 15,0,0,0,636,234,1372,435,0,33,0,0,0,0,67
2023 Wk 16,0,334,1138,803,703,1104,401,0,0,0,0,0,0,67
2023 Wk 17,0,569,0,635,301,837,167,0,0,0,0,0,67,0
