Year,Cases,Case fatality rate
1989,49123,
1990,68226,
1991,594932,3.23
1992,461209,1.74
1993,373879,1.8
1994,384795,2.77
1995,204678,2.4
1996,144639,4.63
1997,147368,4.24
1998,292008,3.61
1999,256530,3.61
2000,136452,3.57
2001,185575,1.46
2002,141910,3.18
2003,109162,1.68
2004,100975,2.3
2005,133723,1.7
2006,237427,2.65
2007,180117,2.26
2008,191033,2.72
2009,221053,2.22
2010,316569,2.36
2011,586745,1.35
2012,245614,1.24
2013,128265,1.63
2014,188304,1.17
2015,171930,0.77
2016,130994,1.81
2017,1225341,0.46
