Year,Africa,Oceania,Americas,Asia
1989,35452,0,0,16088
1990,35583,0,0,38652
1991,151544,0,392658,51508
1992,90526,0,360459,9652
1993,77765,0,205963,93358
1994,158338,0,119095,106175
1995,68337,0,86896,51488
1996,110264,0,19328,19307
1997,116868,0,22500,9648
1998,213504,0,54702,28976
1999,207152,0,9670,35409
2000,117161,0,9688,12870
2001,171998,0,0,12859
2002,139963,0,0,0
2003,107867,0,0,0
2004,104773,0,0,0
2005,127411,0,0,0
2006,233735,0,0,9648
2007,163058,0,0,16071
2008,182482,0,0,9648
2009,221216,0,0,0
2010,118326,9659,176994,12873
2011,192459,0,360478,35402
2012,115349,0,125506,6416
2013,54323,0,67562,9641
2014,112353,0,28955,54713
2015,70645,0,45058,57902
2016,73959,0,41857,19286
2017,180290,0,16071,1033128
