Date,Hospitalisations,Letalite Hospitaliere
01/01/11,80,1.25
02/01/11,113,0
03/01/11,113,0
04/01/11,113,3.31
05/01/11,118,0
06/01/11,109,0
07/01/11,108,0
08/01/11,96,4.32
09/01/11,99,1.56
10/01/11,106,0
11/01/11,104,0
12/01/11,99,1.2
13/1/11,99,1.04
14/1/11,95,0
15/1/11,89,0
16/1/11,89,0.03
17/1/11,90,0
18/1/11,93,0
19/1/11,102,1.04
20/1/11,103,1.58
21/1/11,103,2.4
22/1/11,103,0.98
23/1/11,103,0
24/1/11,103,0.36
25/1/11,70,0
26/1/11,83,2.82
27/1/11,84,0
28/1/11,88,0
29/1/11,88,0.01
30/1/11,84,0
31/1/11,85,0
01/02/11,86,0.52
02/02/11,88,1.12
03/02/11,92,0
04/02/11,75,0
05/02/11,75,1.51
06/02/11,75,0
07/02/11,61,0
08/02/11,50,0
09/02/11,58,0
10/02/11,58,0
11/02/11,47,0
12/02/11,51,0
13/2/11,51,0
14/2/11,14,0
15/2/11,1,2.58
16/2/11,58,0
17/2/11,61,0
18/2/11,61,0
19/2/11,49,0
20/2/11,41,0
21/2/11,49,2.19
22/2/11,49,0
23/2/11,61,0
24/2/11,61,1.63
25/2/11,54,0
26/2/11,27,4.88
27/2/11,11,0
28/2/11,8,3.14
01/03/11,48,0
02/03/11,47,0
03/03/11,50,0
04/03/11,50,0
05/03/11,49,0
06/03/11,51,0
07/03/11,50,2.72
08/03/11,41,0
09/03/11,39,0
10/03/11,6,0
11/03/11,27,2.27
12/03/11,27,0
13/3/11,31,0
14/3/11,31,0
15/3/11,32,0
16/3/11,32,0
17/3/11,24,0
18/3/11,24,4.19
19/3/11,16,0
20/3/11,7,5.92
21/3/11,7,0
22/3/11,16,0
23/3/11,16,6.67
24/3/11,13,0
25/3/11,12,0
26/3/11,12,0
27/3/11,19,3.58
28/3/11,27,0
29/3/11,18,0
30/3/11,18,0
31/3/11,18,0
01/04/11,21,0
02/04/11,27,0
03/04/11,27,4.33
04/04/11,24,0
05/04/11,24,0
06/04/11,22,0
07/04/11,21,0
08/04/11,22,0
09/04/11,27,0
10/04/11,27,0
11/04/11,24,0
12/04/11,27,0
13/4/11,29,0
14/4/11,29,0
15/4/11,23,0
16/4/11,28,0
17/4/11,34,0
18/4/11,34,0
19/4/11,34,0
20/4/11,30,0
21/4/11,31,6.26
22/4/11,24,0
23/4/11,24,0
24/4/11,41,0
25/4/11,41,0
26/4/11,27,4.03
27/4/11,29,0
28/4/11,31,0
29/4/11,31,0
30/4/11,37,3.44
01/05/11,37,0
02/05/11,36,2.95
03/05/11,42,0
04/05/11,33,0
05/05/11,30,0
06/05/11,29,0
07/05/11,29,0
08/05/11,56,0
09/05/11,56,0
10/05/11,39,0
11/05/11,39,0
12/05/11,33,0
13/5/11,31,0
14/5/11,34,0
15/5/11,34,0
16/5/11,27,0
17/5/11,25,0
18/5/11,24,0
19/5/11,27,0
20/5/11,29,0
21/5/11,30,0
22/5/11,29,0
23/5/11,25,0
24/5/11,19,3.84
25/5/11,20,0
26/5/11,34,0
27/5/11,41,0
28/5/11,41,0
29/5/11,41,0
30/5/11,46,0
31/5/11,70,0
01/06/11,71,0
02/06/11,70,0
03/06/11,87,5.57
04/06/11,61,0
05/06/11,61,0
06/06/11,41,3.82
07/06/11,110,0
08/06/11,110,0
09/06/11,110,0
10/06/11,79,0
11/06/11,90,3.33
12/06/11,94,0
13/6/11,139,0
14/6/11,139,0
15/6/11,128,0
16/6/11,127,2.35
17/6/11,111,0
18/6/11,110,0
19/6/11,111,0
20/6/11,149,1.49
21/6/11,154,0
22/6/11,183,0
23/6/11,182,0
24/6/11,173,0.54
25/6/11,173,0
26/6/11,174,1.72
27/6/11,181,0
28/6/11,196,0
29/6/11,196,0
30/6/11,167,2.34
01/07/11,192,0
02/07/11,167,1.76
03/07/11,166,0
04/07/11,158,0
05/07/11,167,1.29
06/07/11,166,0
07/07/11,135,0.84
08/07/11,130,0
09/07/11,150,0
10/07/11,160,0
11/07/11,164,0
12/07/11,164,1.81
13/7/11,160,0
14/7/11,175,0
15/7/11,128,0.74
16/7/11,130,0
17/7/11,130,0.83
18/7/11,114,0
19/7/11,109,0
20/7/11,90,0
21/7/11,90,0
22/7/11,90,0
23/7/11,93,1.07
24/7/11,93,0
25/7/11,89,0
26/7/11,94,1.01
27/7/11,94,0
28/7/11,86,1.11
29/7/11,92,0
30/7/11,92,0
31/7/11,58,0
01/08/11,83,1.76
02/08/11,88,0
03/08/11,89,0
04/08/11,89,0
05/08/11,90,1.09
06/08/11,94,0
07/08/11,80,0
08/08/11,80,0
09/08/11,79,0
10/08/11,67,0
11/08/11,58,0
12/08/11,58,0
13/8/11,59,0
14/8/11,59,0
15/8/11,7,2.05
16/8/11,61,0
17/8/11,59,0
18/8/11,49,0
19/8/11,49,0
20/8/11,51,0
21/8/11,50,0
22/8/11,42,0
23/8/11,42,0
24/8/11,41,0
25/8/11,45,0
26/8/11,38,0
27/8/11,48,0
28/8/11,38,0
29/8/11,35,0
30/8/11,35,0
31/8/11,18,0
01/09/11,31,3.56
02/09/11,39,0
03/09/11,8,0
04/09/11,49,2.67
05/09/11,49,0
06/09/11,34,0
07/09/11,44,0
08/09/11,44,0
09/09/11,51,0
10/09/11,51,0
11/09/11,48,0
12/09/11,48,0
13/9/11,42,0
14/9/11,42,0
15/9/11,25,0
16/9/11,23,0
17/9/11,23,0
18/9/11,25,0
19/9/11,33,0
20/9/11,33,4.99
21/9/11,25,0
22/9/11,37,0
23/9/11,37,0
24/9/11,31,0
25/9/11,31,0
26/9/11,34,0
27/9/11,34,0
28/9/11,23,0
29/9/11,37,0
30/9/11,37,0
01/10/11,3,2.68
02/10/11,38,0
03/10/11,38,0
04/10/11,33,0
05/10/11,33,0
06/10/11,35,0
07/10/11,35,0
08/10/11,24,0
09/10/11,23,0
10/10/11,24,0
11/10/11,31,0
12/10/11,33,0
13/10/11,33,0
14/10/11,27,3.42
15/10/11,23,0
16/10/11,23,4.35
17/10/11,44,0
18/10/11,42,0
19/10/11,22,0
20/10/11,22,0
21/10/11,25,0
22/10/11,26,0
23/10/11,41,0
24/10/11,41,0
25/10/11,33,0
26/10/11,30,0
27/10/11,31,0
28/10/11,32,0
29/10/11,34,0
30/10/11,30,0
31/10/11,23,0
01/11/11,23,0
02/11/11,31,0
03/11/11,31,0
04/11/11,27,0
05/11/11,27,0
06/11/11,27,0
07/11/11,27,0
08/11/11,24,4.18
09/11/11,32,0
10/11/11,33,0
11/11/11,33,0
12/11/11,14,3.85
13/11/11,24,0
14/11/11,25,0
15/11/11,28,0
16/11/11,28,0
17/11/11,25,0
18/11/11,24,0
19/11/11,24,4.97
20/11/11,15,0
21/11/11,15,0
22/11/11,15,6.25
23/11/11,19,0
24/11/11,20,0
25/11/11,21,0
26/11/11,21,0
27/11/11,17,0
28/11/11,17,0
29/11/11,10,0
30/11/11,9,0
