Week,data,S3,S4
1,0.93,,0.63
2,0.96,,0.93
3,0.84,,1.24
4,1.75,,1.95
5,2.16,,1.96
6,1.83,,1.88
7,1.78,,1.82
8,1.84,,1.76
9,2.5,,1.78
10,2.22,1.57,1.68
11,1.71,1.4,1.5
12,1.42,1.25,1.31
13,1.24,1.12,1.18
14,1.18,1.02,1.09
15,1.06,0.82,1.08
16,0.86,0.81,0.96
17,0.75,0.9,0.83
18,0.66,0.73,0.81
19,0.63,0.67,0.76
20,0.59,0.73,0.67
21,0.6,0.78,0.64
22,0.6,0.7,0.59
23,0.53,0.67,0.57
24,0.47,0.57,0.53
25,0.42,0.79,0.5
26,0.41,0.81,0.46
27,0.41,0.77,0.34
28,0.41,0.59,0.44
29,0.57,0.64,0.49
30,0.63,0.65,0.48
31,0.62,0.56,0.51
32,0.75,0.59,0.57
33,1.25,0.64,0.78
34,1.41,0.74,1.19
35,1.28,0.9,1.3
36,1.19,1.94,1.55
37,1.08,4.14,1.36
38,0.95,3.73,1.11
39,0.83,1.86,0.93
40,0.86,1.87,0.85
41,0.74,1.13,0.77
42,0.69,1.44,0.77
43,0.59,0.85,0.63
44,0.45,0.79,0.57
45,0.41,0.58,0.5
46,0.41,0.53,0.4
47,0.47,0.55,0.45
48,0.49,0.46,0.51
49,0.53,0.39,0.57
50,0.53,0.51,0.62
51,0.59,0.51,0.69
52,0.62,0.42,1.13
53,0.53,0.47,0.91
54,0.65,0.47,0.75
55,0.53,0.36,0.65
56,0.46,0.37,0.63
57,0.37,0.33,0.53
58,0.31,0.22,0.44
59,0.25,0.17,0.36
60,0.19,0.14,0.3
61,0.14,0.14,0.26
62,0.11,0.15,0.22
63,0.1,0.13,0.2
64,0.14,0.05,0.2
65,0.08,0.06,0.18
66,0.11,0.09,0.17
67,0.11,0.08,0.17
68,0.05,0.11,0.17
69,0.05,0.1,0.15
70,0.07,0.1,0.15
71,0.1,0.11,0.14
72,0.1,0.11,0.14
73,0.1,0.11,0.14
74,0.1,0.1,0.15
75,0.1,0.11,0.15
76,0.07,0.11,0.17
77,0.07,0.05,0.14
78,0.14,0.17,0.14
79,0.15,0.26,0.18
80,0.12,0.27,0.25
81,0.24,0.34,0.34
82,0.28,0.4,0.29
83,0.27,0.47,0.43
84,0.33,0.57,0.5
85,0.4,0.53,0.46
86,0.3,0.48,0.38
87,0.28,0.48,0.37
88,0.28,0.44,0.37
89,0.28,0.47,0.32
90,0.22,0.41,0.28
91,0.21,0.41,0.28
92,0.16,0.41,0.26
93,0.16,0.33,0.25
94,0.16,0.31,0.22
95,0.16,0.31,0.23
96,0.16,0.26,0.22
97,0.16,0.36,0.22
98,0.13,0.32,0.24
99,0.13,0.36,0.22
100,0.18,0.29,0.22
101,0.18,0.38,0.26
102,0.19,0.36,0.25
103,0.19,0.33,0.28
104,0.19,0.42,0.28
105,0.21,0.39,0.23
106,0.25,0.49,0.38
107,0.31,0.67,0.5
108,0.37,0.6,0.44
109,0.36,0.75,0.44
110,0.34,0.67,0.48
111,0.37,0.6,0.43
112,0.31,0.53,0.43
113,0.33,0.49,0.39
