Year,Cholera cases,Air temperature,Air temperature SH,Sea surface temperature,Sea surface temperature SH
1971,-0.73,-1.71,-1.5,-2.32,-1.7
1972,-0.77,-1,-0.54,-0.64,-0.11
1973,-0.73,-0.59,-0.38,-0.22,-0.37
1974,-0.7,-1.14,-2.08,-0.68,-1.74
1975,-0.73,-1.29,-1.79,-1.29,-1.95
1976,-0.71,-0.99,-1.99,-0.62,-1.71
1977,-0.68,0.06,-0.71,0.34,-0.8
1978,-0.26,-0.5,-0.87,0.48,-1.07
1979,-0.44,-0.15,-0.37,-0.19,-0.33
1980,-0.43,0.1,-0.02,-0.02,-0.39
1981,-0.43,-0.92,-0.4,-1.15,-0.59
1982,-0.35,-0.09,-0.35,0.04,-0.46
1983,-0.36,1.38,0.36,1.16,0.29
1984,-0.56,-0.69,-0.86,-1.63,-0.37
1985,-0.68,-0.58,-0.29,-0.76,-0.51
1986,-0.66,-0.29,-0.11,-1.03,-0.52
1987,-0.62,1.81,0.63,0.38,0.34
1988,-0.57,1.14,0.51,0.61,-0.02
1989,-0.36,-0.69,-0.18,-0.45,-0.36
1990,-0.04,-0.05,0.27,0.41,0.13
1991,0.39,0.22,0.24,0.01,0.14
1992,1.37,0.5,-0.36,0.41,-0.29
1993,0.8,-0.28,-0.02,-0.37,-0.04
1994,-0.58,-0.75,0.23,-1.18,-0.26
1995,-0.55,0.03,0.4,0.16,0.04
1996,-0.42,-0.55,0.28,-0.73,0.05
1997,1.46,0.37,0.88,0.34,0.97
1998,3.35,1.39,2.1,1.78,2.14
1999,2.73,-0.56,0.35,0.44,0.59
2000,0.27,-0.72,-0.18,0.37,0.56
2001,-0.16,0.92,0.61,0.86,1.42
2002,1.41,0.59,1.22,0.69,1.61
2003,-0.01,0.7,1.28,0.78,1.57
2004,0.65,0.73,0.99,1.25,1.1
2005,-0.27,2.42,1.77,1.54,1.06
2006,0.38,1.48,1.03,1.42,0.93
