Date,No. cases,"14-day hospital CFR, %"
2010-10-20,2001,
2010-10-21,2126,
2010-10-22,2138,
2010-10-23,1215,
2010-10-24,2088,
2010-10-25,2238,
2010-10-26,2637,
2010-10-27,2413,
2010-10-28,2400,
2010-10-29,1951,
2010-10-30,2201,
2010-10-31,1577,
2010-11-01,1103,2249
2010-11-02,1390,2268
2010-11-03,1205,2193
2010-11-04,991,2099
2010-11-05,1053,2112
2010-11-06,1128,2305
2010-11-07,1278,2205
2010-11-08,1290,2505
2010-11-09,846,2405
2010-11-10,1178,2517
2010-11-11,1639,2480
2010-11-12,2088,2411
2010-11-13,2222,2430
2010-11-14,2556,2455
2010-11-15,2512,2436
2010-11-16,2450,2361
2010-11-17,2550,2299
2010-11-18,2500,2249
2010-11-19,2569,2187
2010-11-20,2587,2143
2010-11-21,2569,2006
2010-11-22,2456,1906
2010-11-23,2494,1825
2010-11-24,2463,1757
2010-11-25,2675,1663
2010-11-26,3398,1613
2010-11-27,2887,1557
2010-11-28,3261,1501
2010-11-29,3435,1445
2010-11-30,3161,1283
2010-12-01,2550,1189
2010-12-02,2911,1133
2010-12-03,2699,1058
2010-12-04,2706,990
2010-12-05,2874,927
2010-12-06,2911,884
2010-12-07,2325,884
2010-12-08,2340,859
2010-12-09,2101,827
2010-12-10,2400,796
2010-12-11,2176,809
2010-12-12,2251,815
2010-12-13,2696,778
2010-12-14,2706,759
2010-12-15,2475,771
2010-12-16,2413,771
2010-12-17,2400,821
2010-12-18,2327,859
2010-12-19,2814,884
2010-12-20,2537,909
2010-12-21,2388,921
2010-12-22,2327,933
2010-12-23,2562,977
2010-12-24,2749,996
2010-12-25,2625,952
2010-12-26,3348,933
2010-12-27,3797,958
2010-12-28,4113,958
2010-12-29,3996,958
2010-12-30,3984,971
2010-12-31,3996,958
2011-01-01,3660,946
2011-01-02,3448,909
2011-01-03,3747,896
2011-01-04,3435,896
2011-01-05,3423,871
2011-01-06,3261,809
2011-01-07,3061,771
2011-01-08,2866,784
2011-01-09,2586,771
2011-01-10,2961,746
2011-01-11,2762,734
2011-01-12,2475,690
2011-01-13,2151,615
2011-01-14,2014,584
2011-01-15,2007,572
2011-01-16,1841,559
2011-01-17,1901,522
2011-01-18,2137,509
2011-01-19,2201,522
2011-01-20,2026,534
2011-01-21,1829,509
2011-01-22,1752,497
2011-01-23,1736,485
2011-01-24,1789,472
2011-01-25,1689,472
2011-01-26,1627,497
2011-01-27,1685,497
2011-01-28,1515,485
2011-01-29,1590,485
2011-01-30,1700,491
2011-01-31,1901,497
2011-02-01,1689,509
2011-02-02,1612,497
2011-02-03,1602,485
2011-02-04,1452,485
2011-02-05,1667,460
2011-02-06,1689,447
2011-02-07,1577,435
2011-02-08,1565,435
2011-02-09,1552,410
2011-02-10,1365,397
2011-02-11,1151,385
2011-02-12,1141,360
2011-02-13,1066,347
2011-02-14,1191,372
2011-02-15,1118,372
2011-02-16,1127,372
2011-02-17,956,329
2011-02-18,1078,310
2011-02-19,1028,347
2011-02-20,1078,372
2011-02-21,961,397
2011-02-22,988,410
2011-02-23,762,397
2011-02-24,956,372
2011-02-25,937,360
2011-02-26,929,372
2011-02-27,1003,385
2011-02-28,829,354
2011-03-01,904,335
2011-03-02,742,329
2011-03-03,941,347
2011-03-04,842,403
2011-03-05,879,416
2011-03-06,688,435
2011-03-07,619,447
2011-03-08,754,447
2011-03-09,834,460
2011-03-10,841,485
2011-03-11,791,497
2011-03-12,767,485
2011-03-13,754,460
2011-03-14,579,447
2011-03-15,667,447
2011-03-16,701,435
2011-03-17,738,422
2011-03-18,710,366
2011-03-19,827,360
2011-03-20,968,329
2011-03-21,1028,310
2011-03-22,854,322
2011-03-23,717,335
2011-03-24,777,347
2011-03-25,587,366
2011-03-26,603,360
2011-03-27,761,379
2011-03-28,604,385
2011-03-29,661,397
2011-03-30,530,435
2011-03-31,592,422
2011-04-01,517,435
2011-04-02,442,422
2011-04-03,729,435
2011-04-04,579,447
2011-04-05,486,460
2011-04-06,543,428
2011-04-07,408,403
2011-04-08,355,379
2011-04-09,455,360
2011-04-10,305,347
2011-04-11,367,366
2011-04-12,463,366
2011-04-13,407,360
2011-04-14,323,385
2011-04-15,376,385
2011-04-16,293,372
2011-04-17,352,360
2011-04-18,343,347
2011-04-19,517,335
