Week,Kinshasa,Binza Meteo,Limete,Kokolo,Kintambo,Kingabwa,Mont Ngafula II,Gombe,Nsele,Bumbu,Weekly precipitation in Kinshasa (mm)
15,1,0,1,0,0,0,0,0,0,0,75
16,2,0,2,0,0,0,0,0,0,0,62
17,2,0,2,0,0,0,0,0,0,0,56
18,3,0,3,0,0,0,0,0,0,0,73
19,5,0,4,0,0,0,0,0,0,0,58
20,15,0,5,7,0,0,0,0,0,0,52
21,47,0,3,40,0,0,0,0,0,0,20
22,45,0,3,33,0,0,0,7,0,0,0
23,44,0,3,26,0,0,1,4,0,0,0
24,38,0,3,20,0,0,8,0,0,0,0
25,56,0,6,26,0,0,22,0,0,0,0
26,42,0,1,26,0,0,13,0,0,0,0
27,28,0,1,15,0,0,10,0,0,0,0
28,21,0,2,9,0,0,10,0,0,0,0
29,9,0,1,5,0,0,0,0,0,0,0
30,13,0,3,2,0,0,0,0,0,0,0
31,6,0,2,2,0,0,0,0,0,0,0
32,4,0,1,2,0,0,0,0,0,0,0
33,3,0,1,2,0,0,0,0,0,0,0
34,2,0,1,2,0,0,0,0,0,0,0
35,2,0,1,2,0,0,0,0,0,0,0
36,2,0,1,2,0,0,0,0,0,0,0
37,2,0,1,2,0,0,0,0,0,0,3
38,2,0,1,2,0,0,0,0,0,0,18
39,2,0,1,2,0,0,0,0,0,0,40
40,2,0,1,2,0,0,0,0,0,0,58
41,2,0,1,2,0,0,0,0,0,0,0
42,6,0,3,3,0,0,0,0,0,0,24
43,6,0,2,3,0,0,0,0,0,0,53
44,5,0,2,3,0,0,0,0,0,0,47
45,4,0,2,3,0,0,0,0,0,0,59
46,3,0,2,3,0,0,0,0,0,0,73
47,4,0,2,3,0,0,0,0,0,0,70
48,5,3,2,3,0,0,0,0,0,0,97
49,7,6,3,3,0,0,0,0,0,0,90
50,16,16,5,3,0,0,0,0,0,0,44
51,25,27,8,4,0,0,0,0,0,0,62
52,88,96,10,4,0,0,0,0,0,0,47
1,157,99,25,13,50,2,0,0,0,0,41
2,187,71,32,4,52,3,0,0,0,8,28
3,176,53,25,3,23,5,0,0,0,12,53
4,130,18,39,3,0,11,0,0,7,4,26
5,68,9,31,2,0,3,0,0,2,4,17
6,38,7,15,2,0,6,0,0,0,3,17
7,30,5,4,2,0,5,0,0,0,2,65
8,31,3,10,1,0,14,0,0,0,0,84
9,33,2,11,4,0,7,0,0,0,0,17
10,24,0,7,4,0,3,0,0,0,0,11
11,12,0,3,3,0,2,0,0,0,0,15
12,23,0,3,3,0,2,0,0,0,0,20
13,14,0,4,3,0,2,0,0,0,0,37
14,10,0,3,2,0,2,0,0,0,0,40
15,11,0,4,3,0,2,0,0,0,0,97
16,15,0,6,3,0,3,0,0,0,0,43
17,8,0,2,2,0,4,0,0,0,0,20
18,8,0,1,2,0,4,0,0,0,0,32
19,11,0,2,2,0,5,0,0,0,0,62
20,7,0,2,2,0,3,0,0,0,0,70
21,4,0,2,2,0,1,0,0,0,0,11
22,4,0,2,1,0,2,0,0,0,0,18
23,4,0,3,1,0,2,0,0,0,0,0
24,4,0,3,1,0,4,0,5,0,0,0
25,4,0,2,0,0,2,0,2,0,0,0
26,12,0,2,0,0,6,0,3,0,0,0
27,20,0,1,0,0,4,0,10,3,0,0
28,19,0,1,0,0,6,0,0,11,0,0
29,7,0,2,0,0,0,0,0,0,0,0
30,9,0,2,0,0,0,0,0,0,0,0
31,12,0,2,0,0,0,0,0,0,0,0
32,5,0,2,0,0,0,0,0,0,0,0
33,2,0,3,0,0,0,0,0,0,0,0
34,5,0,3,0,0,0,0,0,0,0,6
35,10,0,5,0,0,0,0,0,0,0,0
36,6,0,5,0,0,0,0,0,0,0,8
37,3,0,2,0,0,0,0,0,0,0,14
38,5,0,1,0,0,0,0,0,0,0,0
39,4,0,1,0,0,0,0,0,0,0,0
40,1,0,1,0,0,0,0,0,0,0,9
41,3,0,2,0,0,0,0,0,0,0,5
42,2,0,1,0,0,0,0,0,0,0,32
43,2,0,1,0,0,0,0,0,0,0,53
44,3,0,2,0,0,0,0,0,0,0,35
45,2,0,1,0,0,0,0,0,0,0,72
