Epidemiological weeks,Cases,Deaths
48,41,0
49,115,0
50,108,0
51,55,0
52,92,0
1,86,0
2,95,0
3,68,0
4,104,0
5,99,0
6,146,0
7,148,0
8,175,0
9,166,0
10,137,0
11,150,0
12,112,0
13,215,0
14,179,0
15,192,0
16,212,0
17,297,0
18,315,0
19,268,0
20,359,0
21,394,0
22,343,0
23,295,0
24,306,0
25,343,0
26,152,0
27,146,0
28,90,0
29,77,0
30,59,0
31,55,0
32,39,0
33,77,0
34,50,0
35,37,0
36,37,0
37,32,0
38,30,0
39,26,0
40,21,0
41,35,0
42,24,0
43,21,0
44,21,0
45,28,0
46,19,0
47,32,0
48,35,0
49,39,0
50,39,0
51,30,0
52,32,0
7,61,0
8,61,0
9,46,0
10,35,0
11,35,0
12,35,0
13,41,0
14,30,0
15,32,0
16,41,0
17,37,0
18,48,0
19,48,0
20,57,0
21,79,0
22,135,0
23,150,0
24,150,0
25,190,0
26,144,0
27,115,0
28,90,0
29,66,0
30,48,0
31,39,0
32,50,0
33,37,0
34,35,0
35,39,0
36,30,0
37,39,0
38,35,0
39,26,0
40,55,0
41,39,0
42,41,0
43,57,0
44,75,0
45,70,0
46,70,0
47,81,0
48,99,0
49,132,0
50,128,0
51,124,0
52,126,0
1,110,0
2,146,0
3,108,0
4,172,0
5,259,0
6,252,0
7,188,0
8,295,0
9,257,0
10,243,0
11,184,0
12,179,0
13,159,0
14,192,0
15,141,0
16,121,0
17,117,0
18,121,0
19,124,0
20,179,0
21,168,0
22,292,0
23,295,0
24,295,0
25,201,0
26,197,0
27,197,0
28,108,0
29,104,0
30,104,0
31,92,0
32,79,0
33,79,0
34,77,0
35,77,0
36,64,0
37,70,0
38,70,0
39,57,0
40,57,0
41,57,0
42,48,0
43,52,0
44,55,0
45,44,0
46,55,0
47,55,0
48,57,0
49,64,0
50,68,0
51,59,0
52,59,0
1,64,0
2,66,0
3,70,0
4,92,0
5,84,0
6,79,0
7,81,0
8,104,0
9,88,0
10,64,0
11,55,0
12,57,0
13,55,0
14,52,0
15,68,0
16,79,0
17,66,0
18,159,0
19,124,0
20,146,0
21,339,0
22,212,0
23,235,0
24,252,0
25,192,0
26,332,0
27,128,0
28,137,0
29,101,0
30,97,0
31,130,0
32,92,0
33,117,0
34,97,0
35,86,0
36,32,0
37,37,0
38,97,0
39,81,0
40,8,0
