Epi-week,Deaths 2022,Deaths 2023,Deaths 2024
1,5,51,171
2,7,60,197
3,16,42,187
4,18,81,156
5,16,149,127
6,21,133,109
7,14,89,68
8,18,99,24
9,8,85,
10,4,63,
11,7,97,
12,19,57,
13,21,46,
14,19,57,
15,14,35,
16,8,62,
17,17,60,
18,9,52,
19,25,43,
20,18,60,
21,13,67,
22,19,60,
23,21,62,
24,7,53,
25,6,30,
26,7,48,
27,3,32,
28,7,26,
29,9,31,
30,10,44,
31,6,36,
32,25,28,
33,40,34,
34,15,24,
35,28,37,
36,23,18,
37,20,29,
38,17,41,
39,26,33,
40,37,29,
41,35,39,
42,27,18,
43,38,38,
44,32,40,
45,36,54,
46,35,39,
47,39,61,
48,30,47,
49,38,49,
50,48,39,
51,96,56,
52,80,98,
