Epidemiological Week,AFRO,AMRO,EMRO,EURO,SEARO
1,6324,589,3095,,94
2,7730,535,7143,,31
3,6892,578,5476,,31
4,6896,545,5000,,31
5,6197,567,4048,,156
6,4937,567,2619,,0
7,5081,535,2619,,31
8,4382,415,2381,,63
9,4385,349,2381,,250
10,3687,305,2857,,94
11,4392,251,2619,,344
12,4536,218,3095,,188
13,3556,175,3095,,94
14,3419,175,3333,,63
15,3984,153,3571,,63
16,2864,153,4048,,31
17,4833,131,5000,25,469
18,3573,131,6667,0,188
19,3015,109,7857,52,94
20,2877,142,8810,14,250
21,3442,131,9762,11,1094
22,1481,120,9762,20,500
23,3028,120,9762,23,375
24,1207,98,8810,17,844
25,2192,164,7619,28,438
26,2054,142,10714,16,281
27,2479,153,11190,5,781
28,1079,109,12143,0,1062
29,2346,109,11190,6,1531
30,2209,98,12619,,875
31,1650,65,11667,,1719
32,2355,76,11429,,813
33,1376,65,10714,,875
34,1099,76,11667,,906
35,1662,109,10952,,406
36,1527,65,12381,,94
37,1810,,10714,,63
38,2515,,10000,,0
39,3642,,11429,,63
40,696,,8810,,63
41,4069,,7619,,63
42,703,,5238,,63
43,2111,,4524,,188
44,1412,,2857,,
