Date of onset,No. of cases
2014-12-26,1
2014-12-27,0
2014-12-28,0
2014-12-29,1
2014-12-30,0
2014-12-31,0
2015-01-01,0
2015-01-02,0
2015-01-03,1
2015-01-04,0
2015-01-05,1
2015-01-06,1
2015-01-07,0
2015-01-08,2
2015-01-09,8
2015-01-10,0
2015-01-11,4
2015-01-12,0
2015-01-13,4
2015-01-14,3
2015-01-15,0
2015-01-16,0
2015-01-17,0
2015-01-18,0
2015-01-19,0
2015-01-20,0
2015-01-21,1
2015-01-22,3
2015-01-23,0
2015-01-24,2
2015-01-25,0
2015-01-26,6
2015-01-27,3
2015-01-28,0
2015-01-29,1
2015-01-30,2
2015-01-31,6
2015-02-01,0
2015-02-02,10
2015-02-03,8
2015-02-04,0
2015-02-05,25
2015-02-06,29
2015-02-07,33
2015-02-08,90
2015-02-09,115
2015-02-10,133
2015-02-11,153
2015-02-12,70
2015-02-13,62
2015-02-14,52
2015-02-15,52
2015-02-16,26
2015-02-17,29
2015-02-18,18
2015-02-19,21
2015-02-20,16
2015-02-21,9
2015-02-22,0
2015-02-23,6
2015-02-24,0
2015-02-25,10
2015-02-26,8
2015-02-27,6
2015-02-28,4
2015-03-01,4
2015-03-02,0
2015-03-03,3
2015-03-04,3
2015-03-05,0
2015-03-06,1
2015-03-07,2
2015-03-08,0
2015-03-09,1
2015-03-10,6
2015-03-11,28
2015-03-12,62
2015-03-13,26
2015-03-14,33
2015-03-15,41
2015-03-16,12
2015-03-17,16
2015-03-18,15
2015-03-19,33
2015-03-20,18
2015-03-21,23
2015-03-22,24
2015-03-23,20
2015-03-24,11
2015-03-25,13
2015-03-26,19
2015-03-27,9
2015-03-28,10
2015-03-29,11
2015-03-30,5
2015-03-31,3
2015-04-01,0
2015-04-02,1
2015-04-03,1
2015-04-04,2
2015-04-05,0
2015-04-06,1
2015-04-07,0
2015-04-08,2
2015-04-09,8
2015-04-10,0
2015-04-11,4
2015-04-12,13
2015-04-13,0
2015-04-14,9
2015-04-15,7
2015-04-16,25
2015-04-17,0
2015-04-18,47
2015-04-19,0
2015-04-20,20
2015-04-21,16
2015-04-22,18
2015-04-23,51
2015-04-24,28
2015-04-25,35
2015-04-26,77
2015-04-27,37
2015-04-28,34
2015-04-29,32
2015-04-30,17
2015-05-01,63
2015-05-02,66
2015-05-03,32
2015-05-04,33
2015-05-05,55
2015-05-06,70
2015-05-07,0
2015-05-08,66
2015-05-09,37
2015-05-10,60
2015-05-11,47
2015-05-12,38
2015-05-13,48
2015-05-14,0
2015-05-15,34
2015-05-16,30
2015-05-17,14
2015-05-18,30
2015-05-19,40
2015-05-20,45
2015-05-21,0
2015-05-22,39
2015-05-23,0
2015-05-24,22
2015-05-25,40
2015-05-26,0
2015-05-27,34
2015-05-28,25
2015-05-29,20
2015-05-30,36
2015-05-31,18
2015-06-01,14
2015-06-02,15
2015-06-03,32
2015-06-04,21
2015-06-05,12
2015-06-06,13
2015-06-07,12
2015-06-08,20
2015-06-09,24
2015-06-10,25
2015-06-11,18
2015-06-12,30
2015-06-13,18
2015-06-14,50
2015-06-15,20
2015-06-16,18
2015-06-17,12
2015-06-18,10
2015-06-19,0
2015-06-20,16
2015-06-21,13
2015-06-22,16
2015-06-23,0
2015-06-24,27
2015-06-25,12
2015-06-26,8
2015-06-27,0
2015-06-28,4
2015-06-29,4
2015-06-30,7
2015-07-01,6
2015-07-02,5
2015-07-03,7
2015-07-04,8
2015-07-05,0
2015-07-06,6
2015-07-07,4
2015-07-08,3
2015-07-09,9
2015-07-10,8
2015-07-11,10
2015-07-12,17
2015-07-13,17
2015-07-14,0
2015-07-15,39
2015-07-16,43
2015-07-17,49
2015-07-18,32
2015-07-19,25
2015-07-20,42
2015-07-21,23
2015-07-22,29
2015-07-23,20
2015-07-24,21
2015-07-25,0
2015-07-26,11
2015-07-27,14
2015-07-28,7
2015-07-29,4
2015-07-30,0
2015-07-31,1
2015-08-01,0
2015-08-02,13
2015-08-03,14
2015-08-04,19
2015-08-05,0
2015-08-06,21
2015-08-07,10
2015-08-08,19
2015-08-09,0
2015-08-10,14
2015-08-11,33
2015-08-12,50
