Epidemiological week (2022 – 2023),Cabo Delgado,Gaza,Inhambane,Manica,Maputo City,Nampula,Niassa,Sofala,Tete,Zambezia,Case fatality rate (%)
W37,0,0,0,0,0,0,0,0,0,0,4.19
W38,0,0,0,0,0,0,49,0,0,0,0
W39,0,0,0,0,0,0,0,0,0,0,0
W40,0,0,0,0,0,0,0,0,0,0,0
W41,0,0,0,0,0,0,0,0,0,0,0
W42,0,0,0,0,0,0,0,0,0,0,0
W43,0,0,0,0,0,0,0,0,0,0,0
W44,0,0,0,0,0,0,0,0,0,0,0
W45,0,0,0,0,0,0,0,0,0,0,2.9
W46,0,0,0,0,0,0,0,0,0,0,0
W47,0,0,0,0,0,0,0,0,0,0,0
W48,0,0,0,0,0,0,0,0,0,0,0
W49,0,0,0,0,0,0,90,0,0,0,2.3
W50,0,0,0,0,0,0,90,0,0,0,0
W51,0,0,0,0,0,0,171,0,0,0,0
W52,0,0,0,0,0,0,356,0,0,0,0.6
W1,0,0,0,0,0,0,336,0,0,0,1.26
W2,0,0,0,0,0,0,486,0,0,0,0.67
W3,0,0,0,0,0,0,356,123,171,0,0.32
W4,0,0,0,0,0,0,262,171,184,0,0.68
W5,0,0,0,0,0,0,244,171,294,0,0.49
W6,0,0,0,0,0,0,195,159,306,0,0.6
W7,0,0,0,0,0,0,313,244,202,0,0.66
W8,0,0,0,97,0,0,208,193,223,0,0
W9,0,0,0,228,0,0,310,305,184,0,0.51
W10,0,0,0,214,0,0,116,416,244,86,1.06
W11,0,0,18,244,0,0,61,550,196,2053,0.67
W12,80,0,0,244,0,0,37,672,281,4399,0.19
W13,140,0,0,214,0,0,73,1027,122,3275,0.29
W14,85,0,61,110,0,226,19,574,37,1723,0.77
W15,123,0,61,85,0,135,73,483,30,367,0.41
