Epidemiological weeks,2020,2021,2022
1,53,76,176
2,94,124,125
3,146,107,132
4,111,86,141
5,121,84,133
6,301,83,124
7,261,115,133
8,184,92,147
9,284,62,132
10,251,65,
11,238,73,
12,204,64,
13,178,52,
14,154,65,
15,177,92,
16,160,73,
17,111,140,
18,87,182,
19,118,208,
20,139,278,
21,183,254,
22,193,288,
23,275,298,
24,275,236,
25,195,156,
26,201,147,
27,193,132,
28,124,116,
29,109,99,
30,105,94,
31,85,96,
32,71,126,
33,72,149,
34,72,94,
35,73,91,
36,63,96,
37,67,127,
38,67,54,
39,57,60,
40,51,77,
41,54,45,
42,50,113,
43,46,116,
44,44,63,
45,52,46,
46,59,52,
47,64,43,
48,63,29,
49,56,18,
50,61,105,
51,134,164,
52,180,176,
