Epidemiological Week,African Region,Eastern Mediterranean Region,European Region,Region of the Americas,South-East Asia Region
1,6304,4884,0,624,0
2,7828,5246,0,469,0
3,6924,5401,0,469,0
4,6743,4833,0,469,0
5,6200,4058,0,624,0
6,5115,2921,0,469,0
7,5141,2921,0,469,0
8,4185,2715,0,365,0
9,4237,2714,0,362,107
10,3772,2921,0,210,0
11,4340,3516,0,232,262
12,4340,5582,0,207,81
13,3565,7937,0,0,0
14,3307,9332,0,0,0
15,3979,9332,0,0,0
16,3927,10004,0,0,0
17,3566,10155,0,0,365
18,3566,11679,0,0,81
19,4834,13517,0,0,0
20,465,15374,0,0,107
21,4314,14237,0,0,1037
22,2301,16200,0,0,417
23,3666,16226,0,0,314
24,723,15735,0,0,779
25,979,18089,0,0,365
26,514,19740,0,0,210
27,2222,20438,0,0,830
28,1860,21006,0,0,830
29,1524,20670,0,0,1399
30,2000,21541,0,0,779
31,3692,14909,0,0,1605
32,546,17159,0,0,1295
33,567,17005,0,0,985
34,3074,15167,0,0,1295
35,1700,16851,0,0,572
36,1938,17027,0,0,107
37,2732,15717,0,0,262
38,3074,15429,0,0,0
39,3025,15270,0,0,107
40,2513,13256,0,0,520
41,2362,12277,0,0,0
42,2171,11653,0,0,262
43,1576,12454,0,129,314
44,2312,11915,0,0,0
45,3100,12532,0,0,210
46,1705,13621,0,0,0
47,3049,9952,0,0,0
