Date,Suspected cases in the South zone,Suspected cases in the PaP zone,Suspected cases in the North zone
2013-11-01,58,22,159
2013-11-02,49,53,120
2013-11-03,50,38,118
2013-11-04,51,43,138
2013-11-05,83,16,135
2013-11-06,116,16,105
2013-11-07,148,16,75
2013-11-08,92,21,128
2013-11-09,37,71,155
2013-11-10,42,60,176
2013-11-11,47,225,26
2013-11-12,54,150,74
2013-11-13,60,77,122
2013-11-14,42,64,130
2013-11-15,44,119,64
2013-11-16,41,179,50
2013-11-17,38,120,50
2013-11-18,36,59,102
2013-11-19,33,51,102
2013-11-20,37,69,206
2013-11-21,40,64,333
2013-11-22,44,40,102
2013-11-23,42,35,113
2013-11-24,40,44,102
2013-11-25,38,52,120
2013-11-26,47,48,100
2013-11-27,40,42,97
2013-11-28,33,36,125
2013-11-29,34,35,106
2013-11-30,35,34,84
2013-12-01,34,50,84
2013-12-02,34,32,95
2013-12-03,34,24,162
2013-12-04,33,11,235
2013-12-05,27,18,213
2013-12-06,21,25,192
2013-12-07,15,11,191
2013-12-08,33,3,183
2013-12-09,32,15,151
2013-12-10,31,5,140
2013-12-11,30,5,139
2013-12-12,29,17,127
2013-12-13,26,11,47
2013-12-14,22,5,42
2013-12-15,19,8,59
2013-12-16,16,10,77
2013-12-17,16,10,94
2013-12-18,17,16,104
2013-12-19,18,14,122
2013-12-20,18,14,140
2013-12-21,16,15,89
2013-12-22,15,5,48
2013-12-23,14,8,40
2013-12-24,12,11,32
2013-12-25,10,14,55
2013-12-26,9,17,65
2013-12-27,9,14,80
2013-12-28,10,9,96
2013-12-29,10,6,104
2013-12-30,10,14,102
2013-12-31,10,14,108
2014-01-01,11,13,113
2014-01-02,11,13,103
2014-01-03,10,6,102
2014-01-04,9,0,99
2014-01-05,8,10,51
2014-01-06,6,6,46
2014-01-07,5,0,49
2014-01-08,4,2,43
2014-01-09,4,4,39
2014-01-10,4,5,24
2014-01-11,4,6,50
2014-01-12,4,6,76
2014-01-13,4,7,51
2014-01-14,4,6,27
2014-01-15,4,6,35
2014-01-16,4,6,43
2014-01-17,4,5,52
2014-01-18,4,5,41
2014-01-19,4,5,31
2014-01-20,4,5,31
2014-01-21,4,6,30
2014-01-22,4,7,29
2014-01-23,4,8,31
2014-01-24,4,9,33
2014-01-25,4,25,35
2014-01-26,4,20,18
2014-01-27,5,15,20
2014-01-28,5,11,26
2014-01-29,5,6,34
2014-01-30,5,8,34
2014-01-31,5,9,28
2014-02-01,5,11,22
2014-02-02,5,13,21
2014-02-03,5,6,30
2014-02-04,5,6,31
2014-02-05,6,6,48
2014-02-06,6,6,23
2014-02-07,6,7,38
2014-02-08,6,7,59
2014-02-09,7,19,68
2014-02-10,7,4,104
2014-02-11,7,3,87
2014-02-12,7,3,69
2014-02-13,7,2,58
2014-02-14,7,33,15
2014-02-15,7,0,47
2014-02-16,6,2,45
2014-02-17,5,5,65
2014-02-18,4,7,52
2014-02-19,0,10,42
2014-02-20,0,9,31
2014-02-21,0,9,40
2014-02-22,0,8,25
2014-02-23,0,7,24
2014-02-24,0,6,23
2014-02-25,0,5,22
2014-02-26,0,4,23
2014-02-27,0,4,22
2014-02-28,0,4,22
2014-03-01,0,4,22
2014-03-02,0,4,28
2014-03-03,0,5,32
2014-03-04,0,5,36
2014-03-05,0,5,29
2014-03-06,0,5,23
2014-03-07,0,2,20
2014-03-08,0,0,15
2014-03-09,0,0,25
2014-03-10,0,0,35
2014-03-11,0,0,37
2014-03-12,0,0,39
2014-03-13,0,0,33
2014-03-14,0,0,28
2014-03-15,0,0,22
2014-03-16,0,0,35
2014-03-17,0,0,35
2014-03-18,0,0,24
2014-03-19,0,0,38
2014-03-20,0,0,53
2014-03-21,0,0,34
2014-03-22,0,0,16
2014-03-23,0,0,24
2014-03-24,0,0,33
2014-03-25,0,0,32
2014-03-26,0,0,30
2014-03-27,0,0,29
2014-03-28,0,0,30
2014-03-29,0,0,30
2014-03-30,0,0,31
2014-03-31,0,0,31
2014-04-01,0,0,30
2014-04-02,0,0,30
2014-04-03,0,0,29
2014-04-04,0,0,29
2014-04-05,0,0,28
2014-04-06,0,0,27
2014-04-07,0,0,27
2014-04-08,0,0,27
2014-04-09,0,0,27
2014-04-10,0,0,27
2014-04-11,0,0,27
2014-04-12,0,0,26
2014-04-13,0,0,26
2014-04-14,0,0,26
2014-04-15,0,0,26
2014-04-16,0,0,26
2014-04-17,0,0,26
