Day,No. of cases per day,No. of Deaths,Case fatality rate (%)
1,1,1,0
2,7,0,0.16
3,4,0,0.38
4,6,0,0.64
5,3,0,0.91
6,9,1,1.2
7,0,0,1.52
8,4,0,1.88
9,3,0,2.29
10,7,1,2.63
11,13,1,5.34
12,11,0,6.83
13,16,1,7.18
14,5,1,7.06
15,3,0,7.01
16,10,0,6.8
17,11,0,6.59
18,14,1,6.39
19,6,0,5.95
20,10,1,5.71
21,17,0,5.24
22,9,0,4.78
23,6,0,4.32
24,11,0,3.91
25,7,0,3.7
26,7,0,3.53
27,5,0,3.37
28,7,0,3.23
29,2,0,3.15
30,1,0,3.05
31,7,0,2.98
32,7,0,2.9
33,7,0,2.86
34,7,0,2.79
35,1,0,2.74
36,4,0,2.67
37,4,0,2.62
38,11,0,2.59
39,5,0,2.5
40,1,0,2.5
41,3,0,2.45
42,4,0,2.31
43,5,0,2.35
44,2,0,2.31
45,2,0,2.23
46,4,0,2.13
47,2,0,2.14
48,12,0,2.07
49,4,0,1.97
50,8,0,1.97
51,7,0,1.84
52,1,0,2.5
53,0,0,2.55
54,1,0,2.58
55,1,0,2.67
56,2,1,2.78
57,0,1,2.91
58,2,1,3.02
59,0,0,3.17
60,0,0,3.12
61,0,0,3.12
62,2,0,3.08
63,0,0,3
64,0,0,2.94
65,0,0,2.88
66,1,0,2.81
67,0,0,2.74
68,0,0,2.69
69,2,0,2.69
70,0,0,2.59
71,0,0,2.59
72,1,0,2.59
73,0,0,2.59
74,0,0,2.57
75,0,0,2.59
76,0,0,2.59
77,0,0,2.62
78,1,0,2.62
79,0,0,2.62
80,0,0,2.62
81,0,0,2.58
