Date,Cholera cases,7-day moving avg.,7-day moving CFR (%)
2023-11-01,37,33,56
2023-11-02,28,21,75
2023-11-03,19,21,91
2023-11-04,19,21,94
2023-11-05,9,21,96
2023-11-06,13,20,133
2023-11-07,10,20,163
2023-11-08,27,20,174
2023-11-09,17,19,143
2023-11-10,24,18,140
2023-11-11,22,18,174
2023-11-12,13,20,201
2023-11-13,17,19,225
2023-11-14,24,21,198
2023-11-15,29,23,174
2023-11-16,25,17,181
2023-11-17,25,17,150
2023-11-18,17,21,116
2023-11-19,17,18,85
2023-11-20,13,20,51
2023-11-21,25,21,36
2023-11-22,24,17,44
2023-11-23,17,16,99
2023-11-24,13,15,136
2023-11-25,19,17,143
2023-11-26,19,10,153
2023-11-27,17,15,155
2023-11-28,27,16,150
2023-11-29,22,17,105
2023-11-30,22,17,58
2023-12-01,26,18,29
2023-12-02,20,20,82
2023-12-03,24,21,68
2023-12-04,17,22,65
2023-12-05,17,24,119
2023-12-06,27,26,167
2023-12-07,24,27,218
2023-12-08,27,27,262
2023-12-09,20,27,245
2023-12-10,32,27,324
2023-12-11,37,26,308
2023-12-12,51,33,303
2023-12-13,58,39,262
2023-12-14,42,38,273
2023-12-15,34,40,228
2023-12-16,37,45,215
2023-12-17,71,51,163
2023-12-18,75,55,181
2023-12-19,92,61,160
2023-12-20,92,64,165
2023-12-21,85,75,177
2023-12-22,99,81,187
2023-12-23,102,89,186
2023-12-24,85,92,169
2023-12-25,78,91,187
2023-12-26,88,89,215
2023-12-27,97,92,187
2023-12-28,100,95,186
2023-12-29,181,108,189
2023-12-30,201,130,208
2023-12-31,252,146,209
2024-01-01,228,168,198
2024-01-02,262,199,205
2024-01-03,337,234,215
2024-01-04,337,267,238
2024-01-05,365,286,247
2024-01-06,545,352,245
2024-01-07,623,388,244
2024-01-08,738,444,232
2024-01-09,528,500,220
2024-01-10,457,515,213
2024-01-11,443,523,209
2024-01-12,453,529,203
2024-01-13,429,522,192
2024-01-14,429,492,184
2024-01-15,419,451,196
2024-01-16,371,436,203
2024-01-17,464,435,206
2024-01-18,443,434,196
2024-01-19,498,441,187
2024-01-20,494,451,189
2024-01-21,450,454,192
2024-01-22,433,460,179
2024-01-23,436,460,162
2024-01-24,426,460,158
2024-01-25,395,449,155
2024-01-26,389,430,158
2024-01-27,395,416,160
2024-01-28,293,399,155
2024-01-29,354,381,152
2024-01-30,283,362,167
2024-01-31,259,347,155
2024-02-01,245,318,145
2024-02-02,201,292,131
2024-02-03,198,272,117
2024-02-04,204,246,105
2024-02-05,198,229,92
2024-02-06,184,216,70
2024-02-07,167,202,78
2024-02-08,160,188,94
2024-02-09,163,185,99
2024-02-10,146,176,100
2024-02-11,102,165,109
2024-02-12,145,153,121
2024-02-13,152,150,131
2024-02-14,133,150,136
2024-02-15,129,147,140
2024-02-16,123,142,145
2024-02-17,126,139,155
2024-02-18,112,136,145
2024-02-19,112,134,146
2024-02-20,105,129,133
2024-02-21,99,124,112
2024-02-22,92,116,99
2024-02-23,78,109,95
2024-02-24,71,,85
2024-02-25,82,,85
