Epi week,Total cases
2022 W1,972
2022 W2,653
2022 W3,681
2022 W4,1500
2022 W5,1292
2022 W6,875
2022 W7,917
2022 W8,639
2022 W9,583
2022 W10,736
2022 W11,847
2022 W12,875
2022 W13,722
2022 W14,889
2022 W15,736
2022 W16,806
2022 W17,500
2022 W18,444
2022 W19,500
2022 W20,319
2022 W21,417
2022 W22,347
2022 W23,583
2022 W24,417
2022 W25,458
2022 W26,722
2022 W27,1069
2022 W28,958
2022 W29,875
2022 W30,1153
2022 W31,1042
2022 W32,1014
2022 W33,1167
2022 W34,486
2022 W35,1292
2022 W36,1431
2022 W37,1389
2022 W38,1472
2022 W39,1639
2022 W40,1861
2022 W41,2208
2022 W42,2319
2022 W43,1681
2022 W44,2361
2022 W45,694
2022 W46,2778
2022 W47,3431
2022 W48,3667
2022 W49,736
2022 W50,458
2022 W51,514
2022 W52,556
2023 W1,3306
2023 W2,3389
2023 W3,2306
2023 W4,3375
2023 W5,5722
2023 W6,4514
2023 W7,3903
2023 W8,4306
2023 W9,3792
