Symptom onset date,Suspected cases,Confirmed cases
2023-02-01,0,1
2023-02-02,0,0
2023-02-03,0,0
2023-02-04,0,0
2023-02-05,0,1
2023-02-06,0,0
2023-02-07,0,0
2023-02-08,0,0
2023-02-09,0,0
2023-02-10,0,0
2023-02-11,0,0
2023-02-12,0,1
2023-02-13,0,0
2023-02-14,0,0
2023-02-15,1,0
2023-02-16,0,0
2023-02-17,0,0
2023-02-18,0,0
2023-02-19,0,0
2023-02-20,0,0
2023-02-21,0,0
2023-02-22,0,0
2023-02-23,0,1
2023-02-24,0,0
2023-02-25,0,0
2023-02-26,0,0
2023-02-27,0,0
2023-02-28,0,0
2023-03-01,0,0
2023-03-02,0,0
2023-03-03,0,0
2023-03-04,0,0
2023-03-05,0,0
2023-03-06,0,0
2023-03-07,0,0
2023-03-08,0,0
2023-03-09,0,0
2023-03-10,0,0
2023-03-11,0,0
2023-03-12,0,0
2023-03-13,0,0
2023-03-14,0,0
2023-03-15,0,0
2023-03-16,0,0
2023-03-17,0,0
2023-03-18,0,0
2023-03-19,0,1
2023-03-20,0,0
2023-03-21,0,2
2023-03-22,0,0
2023-03-23,0,0
2023-03-24,0,1
2023-03-25,0,0
2023-03-26,0,0
2023-03-27,0,0
2023-03-28,0,1
2023-03-29,0,0
2023-03-30,0,0
2023-03-31,0,0
2023-04-01,0,0
2023-04-02,0,0
2023-04-03,1,0
2023-04-04,0,0
2023-04-05,0,0
2023-04-06,0,0
2023-04-07,0,0
2023-04-08,1,0
2023-04-09,1,0
2023-04-10,0,0
2023-04-11,1,0
2023-04-12,0,0
2023-04-13,0,0
2023-04-14,1,0
2023-04-15,0,0
2023-04-16,0,0
2023-04-17,0,0
2023-04-18,0,0
2023-04-19,0,0
2023-04-20,0,0
2023-04-21,0,0
2023-04-22,0,0
2023-04-23,1,0
2023-04-24,0,0
2023-04-25,1,0
2023-04-26,0,0
2023-04-27,0,0
2023-04-28,1,0
2023-04-29,2,0
2023-04-30,4,0
2023-05-01,4,0
2023-05-02,3,0
2023-05-03,0,0
2023-05-04,15,0
2023-05-05,7,0
2023-05-06,7,2
2023-05-07,3,0
2023-05-08,10,0
2023-05-09,7,0
2023-05-10,16,0
2023-05-11,8,1
2023-05-12,6,2
2023-05-13,13,0
2023-05-14,12,2
2023-05-15,13,6
2023-05-16,15,3
2023-05-17,24,4
2023-05-18,28,15
2023-05-19,56,11
2023-05-20,47,14
2023-05-21,52,5
2023-05-22,51,18
2023-05-23,61,10
2023-05-24,56,8
2023-05-25,33,6
2023-05-26,31,3
2023-05-27,21,5
2023-05-28,45,6
2023-05-29,27,6
2023-05-30,23,12
2023-05-31,46,0
2023-06-01,15,6
2023-06-02,9,7
2023-06-03,7,5
2023-06-04,0,0
2023-06-05,22,2
2023-06-06,33,0
2023-06-07,24,1
2023-06-08,24,0
2023-06-09,33,2
2023-06-10,6,0
2023-06-11,12,2
2023-06-12,30,0
2023-06-13,21,1
2023-06-14,18,1
2023-06-15,12,0
2023-06-16,15,0
2023-06-17,7,2
2023-06-18,7,0
2023-06-19,15,0
2023-06-20,2,0
2023-06-21,0,0
2023-06-22,0,0
2023-06-23,1,0
2023-06-24,0,0
2023-06-25,0,0
2023-06-26,0,0
2023-06-27,2,0
2023-06-28,0,0
2023-06-29,0,0
2023-06-30,2,0
2023-07-01,1,0
2023-07-02,0,0
2023-07-03,2,0
