Sem Epi,Karisimbi,Nyiragongo
2002_1,0,70
2002_2,0,0
2002_3,0,5
2002_4,0,11
2002_5,0,37
2002_6,10,21
2002_7,32,16
2002_8,43,0
2002_9,16,0
2002_10,16,0
2002_11,16,0
2002_12,21,0
2002_13,21,0
2002_14,21,0
2002_15,27,0
2002_16,27,0
2002_17,11,0
2002_18,21,0
2002_19,32,0
2002_20,16,0
2002_21,21,0
2002_22,21,0
2002_23,0,0
2002_24,0,0
2002_25,0,0
2002_26,0,0
2002_27,0,0
2002_28,0,0
2002_29,0,0
2002_30,0,0
2002_31,0,0
2002_32,0,0
2002_33,0,0
2002_34,0,0
2002_35,0,0
2002_36,0,0
2002_37,0,0
2002_38,0,0
2002_39,0,0
2002_40,0,0
2002_41,0,27
2002_42,0,27
2002_43,0,32
2002_44,0,11
2002_45,0,11
2002_46,21,21
2002_47,16,59
2002_48,11,182
2002_49,16,370
2002_50,48,568
2002_51,48,530
2002_52,32,702
2003_1,53,632
2003_2,21,107
