Year,Number of cholera cases,Case fatality rate
1970,0,0
1971,260,0.1
1972,260,8.9
1973,260,3.5
1974,1041,3.7
1975,260,4.7
1976,0,
1977,911,4.4
1978,0,
1979,0,
1980,0,
1981,0,
1982,0,
1983,0,
1984,0,
1985,0,
1986,0,
1987,16390,8.8
1988,15350,10.1
1989,17431,5.3
1990,9496,8.5
1991,8585,6.8
1992,3772,5.2
1993,0,
1994,3252,5.5
1995,3252,7.5
1996,1301,3.3
1997,0,
1998,0,
1999,0,
2000,0,
2001,0,
2002,0,
2003,0,
2004,0,
2005,0,4.1
2006,67382,2.9
2007,18472,2.4
2008,10667,4.4
2009,1821,2.1
2010,1431,6.1
2011,1821,8.1
2012,1301,1.2
2013,6634,1.5
2014,260,
2015,0,
2016,390,3.9
2017,780,5.3
