Date,Suspected cases
2022-01-01,0
2022-01-02,7
2022-01-03,6
2022-01-04,5
2022-01-05,3
2022-01-06,2
2022-01-07,2
2022-01-08,4
2022-01-09,4
2022-01-10,1
2022-01-11,1
2022-01-12,1
2022-01-13,2
2022-01-14,2
2022-01-15,3
2022-01-16,2
2022-01-17,2
2022-01-18,3
2022-01-19,3
2022-01-20,1
2022-01-21,1
2022-01-22,1
2022-01-23,2
2022-01-24,1
2022-01-25,1
2022-01-26,2
2022-01-27,3
2022-01-28,0
2022-01-29,2
2022-01-30,7
2022-01-31,9
2022-02-01,28
2022-02-02,21
2022-02-03,21
2022-02-04,13
2022-02-05,5
2022-02-06,13
2022-02-07,22
2022-02-08,12
2022-02-09,11
2022-02-10,5
2022-02-11,14
2022-02-12,2
2022-02-13,3
2022-02-14,6
2022-02-15,3
2022-02-16,2
2022-02-17,3
2022-02-18,12
2022-02-19,5
2022-02-20,5
2022-02-21,17
2022-02-22,12
2022-02-23,4
2022-02-24,3
2022-02-25,3
2022-02-26,3
2022-02-27,2
2022-02-28,2
2022-03-01,2
2022-03-02,2
2022-03-03,2
2022-03-04,2
2022-03-05,2
2022-03-06,0
2022-03-07,5
2022-03-08,0
2022-03-09,2
2022-03-10,4
2022-03-11,3
2022-03-12,2
2022-03-13,5
2022-03-14,0
2022-03-15,0
2022-03-16,1
2022-03-17,2
2022-03-18,2
2022-03-19,1
2022-03-20,0
2022-03-21,0
2022-03-22,1
2022-03-23,1
2022-03-24,0
2022-03-25,2
2022-03-26,3
2022-03-27,2
2022-03-28,4
2022-03-29,4
2022-03-30,3
2022-03-31,2
2022-04-01,4
2022-04-02,1
2022-04-03,2
2022-04-04,3
2022-04-05,4
2022-04-06,5
2022-04-07,5
2022-04-08,3
2022-04-09,3
2022-04-10,3
2022-04-11,4
2022-04-12,1
2022-04-13,1
2022-04-14,10
2022-04-15,1
2022-04-16,6
2022-04-17,2
2022-04-18,1
2022-04-19,3
2022-04-20,3
2022-04-21,2
2022-04-22,1
2022-04-23,2
2022-04-24,3
2022-04-25,6
2022-04-26,4
2022-04-27,2
2022-04-28,3
2022-04-29,1
2022-04-30,0
2022-05-01,2
2022-05-02,4
2022-05-03,2
2022-05-04,1
2022-05-05,2
2022-05-06,1
2022-05-07,1
2022-05-08,1
2022-05-09,1
2022-05-10,2
2022-05-11,6
2022-05-12,5
2022-05-13,5
2022-05-14,7
2022-05-15,6
2022-05-16,4
2022-05-17,5
2022-05-18,5
2022-05-19,5
2022-05-20,2
2022-05-21,4
2022-05-22,3
2022-05-23,1
2022-05-24,2
2022-05-25,1
2022-05-26,1
2022-05-27,1
2022-05-28,2
2022-05-29,2
2022-05-30,2
2022-05-31,1
2022-06-01,1
2022-06-02,1
2022-06-03,3
2022-06-04,2
2022-06-05,5
2022-06-06,4
2022-06-07,4
2022-06-08,9
2022-06-09,4
2022-06-10,1
2022-06-11,1
2022-06-12,1
2022-06-13,1
2022-06-14,1
2022-06-15,1
2022-06-16,0
2022-06-17,0
2022-06-18,0
2022-06-19,0
2022-06-20,1
2022-06-21,3
2022-06-22,4
2022-06-23,1
2022-06-24,1
2022-06-25,1
2022-06-26,1
2022-06-27,0
2022-06-28,0
2022-06-29,0
2022-06-30,1
2022-07-01,2
2022-07-02,1
2022-07-03,0
2022-07-04,0
2022-07-05,0
2022-07-06,0
2022-07-07,0
2022-07-08,0
2022-07-09,0
2022-07-10,2
2022-07-11,0
2022-07-12,0
2022-07-13,0
2022-07-14,1
2022-07-15,1
2022-07-16,2
2022-07-17,2
2022-07-18,1
2022-07-19,1
2022-07-20,1
2022-07-21,1
2022-07-22,1
2022-07-23,1
2022-07-24,2
2022-07-25,2
2022-07-26,1
2022-07-27,0
2022-07-28,0
2022-07-29,0
2022-07-30,0
2022-07-31,0
2022-08-01,0
2022-08-02,0
2022-08-03,0
2022-08-04,0
2022-08-05,0
2022-08-06,0
2022-08-07,0
2022-08-08,0
2022-08-09,0
2022-08-10,0
2022-08-11,0
2022-08-12,0
2022-08-13,0
2022-08-14,0
2022-08-15,0
2022-08-16,0
2022-08-17,0
2022-08-18,2
2022-08-19,1
2022-08-20,0
2022-08-21,1
2022-08-22,1
2022-08-23,0
2022-08-24,0
2022-08-25,0
2022-08-26,0
2022-08-27,0
2022-08-28,0
2022-08-29,0
2022-08-30,2
2022-08-31,2
2022-09-01,1
2022-09-02,1
2022-09-03,2
2022-09-04,2
2022-09-05,2
2022-09-06,0
2022-09-07,0
2022-09-08,2
2022-09-09,2
2022-09-10,0
2022-09-11,1
2022-09-12,1
2022-09-13,0
2022-09-14,1
2022-09-15,2
2022-09-16,0
2022-09-17,0
2022-09-18,2
2022-09-19,0
2022-09-20,0
2022-09-21,0
2022-09-22,0
2022-09-23,0
2022-09-24,2
2022-09-25,2
2022-09-26,0
2022-09-27,0
2022-09-28,1
2022-09-29,2
2022-09-30,2
2022-10-01,1
2022-10-02,0
2022-10-03,0
2022-10-04,1
2022-10-05,2
2022-10-06,1
2022-10-07,2
2022-10-08,2
2022-10-09,2
2022-10-10,2
2022-10-11,2
2022-10-12,1
2022-10-13,0
2022-10-14,0
2022-10-15,1
2022-10-16,1
2022-10-17,1
2022-10-18,2
2022-10-19,1
2022-10-20,0
2022-10-21,0
2022-10-22,1
2022-10-23,1
2022-10-24,0
2022-10-25,9
2022-10-26,3
2022-10-27,2
2022-10-28,2
2022-10-29,3
2022-10-30,3
2022-10-31,2
2022-11-01,2
2022-11-02,2
2022-11-03,2
2022-11-04,3
2022-11-05,9
2022-11-06,9
2022-11-07,3
2022-11-08,3
2022-11-09,9
2022-11-10,4
2022-11-11,4
2022-11-12,4
2022-11-13,3
2022-11-14,3
2022-11-15,0
2022-11-16,2
2022-11-17,4
2022-11-18,4
2022-11-19,5
2022-11-20,4
2022-11-21,2
2022-11-22,2
2022-11-23,1
2022-11-24,0
2022-11-25,1
2022-11-26,1
2022-11-27,3
2022-11-28,4
2022-11-29,3
2022-11-30,2
2022-12-01,3
2022-12-02,2
2022-12-03,4
2022-12-04,5
2022-12-05,4
2022-12-06,4
2022-12-07,4
2022-12-08,5
2022-12-09,5
2022-12-10,10
2022-12-11,14
2022-12-12,14
2022-12-13,15
2022-12-14,17
2022-12-15,15
2022-12-16,27
2022-12-17,27
2022-12-18,37
2022-12-19,38
2022-12-20,41
2022-12-21,33
2022-12-22,52
2022-12-23,48
2022-12-24,47
2022-12-25,72
2022-12-26,49
2022-12-27,50
2022-12-28,67
2022-12-29,83
2022-12-30,87
2022-12-31,87
2023-01-01,92
2023-01-02,97
2023-01-03,128
2023-01-04,128
2023-01-05,93
2023-01-06,124
2023-01-07,122
2023-01-08,67
2023-01-09,33
2023-01-10,111
2023-01-11,123
2023-01-12,104
2023-01-13,103
2023-01-14,141
2023-01-15,142
2023-01-16,129
2023-01-17,126
2023-01-18,119
2023-01-19,115
2023-01-20,116
2023-01-21,116
2023-01-22,127
2023-01-23,127
2023-01-24,110
2023-01-25,104
2023-01-26,97
2023-01-27,84
2023-01-28,71
2023-01-29,64
2023-01-30,64
2023-01-31,59
2023-02-01,46
2023-02-02,66
2023-02-03,74
2023-02-04,74
2023-02-05,71
2023-02-06,64
2023-02-07,64
2023-02-08,56
2023-02-09,55
2023-02-10,54
2023-02-11,51
2023-02-12,48
2023-02-13,47
2023-02-14,48
2023-02-15,45
2023-02-16,39
2023-02-17,40
2023-02-18,40
2023-02-19,39
2023-02-20,44
2023-02-21,44
2023-02-22,33
2023-02-23,33
2023-02-24,32
2023-02-25,32
2023-02-26,40
2023-02-27,44
2023-02-28,37
2023-03-01,31
2023-03-02,31
2023-03-03,35
2023-03-04,29
2023-03-05,30
2023-03-06,57
2023-03-07,52
2023-03-08,52
2023-03-09,44
2023-03-10,42
2023-03-11,39
2023-03-12,37
2023-03-13,50
2023-03-14,53
2023-03-15,32
2023-03-16,32
2023-03-17,43
2023-03-18,46
2023-03-19,50
2023-03-20,49
2023-03-21,44
2023-03-22,41
2023-03-23,41
2023-03-24,38
2023-03-25,36
2023-03-26,64
2023-03-27,61
2023-03-28,34
