Date,Cases,Incidence rate
2022-08-22,14,0
2022-08-23,16,0
2022-08-24,13,12.94
2022-08-25,50,13.91
2022-08-26,57,9.23
2022-08-27,57,4.82
2022-08-28,13,2.36
2022-08-29,71,2.03
2022-08-30,65,1.98
2022-08-31,61,1.94
2022-09-01,74,1.9
2022-09-02,80,1.85
2022-09-03,79,1.8
2022-09-04,123,1.74
2022-09-05,128,1.69
2022-09-06,128,1.63
2022-09-07,255,1.57
2022-09-08,319,1.5
2022-09-09,421,1.44
2022-09-10,502,1.37
2022-09-11,507,1.31
2022-09-12,506,1.24
2022-09-13,496,1.18
2022-09-14,396,1.11
2022-09-15,397,1.05
2022-09-16,581,0.98
2022-09-17,584,0.92
2022-09-18,582,0.86
2022-09-19,603,0.8
2022-09-20,605,0.75
2022-09-21,612,0.69
2022-09-22,615,0.64
2022-09-23,613,0.41
2022-09-24,661,0
2022-09-25,774,0
2022-09-26,789,0
2022-09-27,791,0
2022-09-28,790,0
2022-09-29,780,0
2022-09-30,847,0
2022-10-01,856,0
2022-10-02,856,0
2022-10-03,853,0
2022-10-04,839,0
2022-10-05,668,0
2022-10-06,738,0
2022-10-07,743,0
2022-10-08,743,0
2022-10-09,745,0
2022-10-10,674,0
2022-10-11,673,0
2022-10-12,669,0
2022-10-13,664,0
2022-10-14,675,0
2022-10-15,684,0
2022-10-16,852,0
2022-10-17,862,0
2022-10-18,907,0
2022-10-19,914,0
2022-10-20,914,0
2022-10-21,911,0
2022-10-22,903,0
2022-10-23,897,0
2022-10-24,872,0
2022-10-25,866,0
2022-10-26,875,0
2022-10-27,876,0
2022-10-28,870,0
2022-10-29,823,0
2022-10-30,816,0
2022-10-31,780,0
2022-11-01,776,0
2022-11-02,740,0
2022-11-03,746,0
2022-11-04,746,0
2022-11-05,740,0
2022-11-06,659,0
2022-11-07,655,0
2022-11-08,642,0
2022-11-09,742,0
2022-11-10,746,0
2022-11-11,746,0
2022-11-12,740,0
2022-11-13,741,0
2022-11-14,742,0
2022-11-15,733,0
2022-11-16,729,0
2022-11-17,733,0
2022-11-18,796,0
2022-11-19,797,0
2022-11-20,798,0
2022-11-21,790,0
2022-11-22,736,0
2022-11-23,728,0
2022-11-24,703,0
2022-11-25,772,0
2022-11-26,777,0
2022-11-27,774,0
2022-11-28,568,0
2022-11-29,568,0
2022-11-30,702,0
2022-12-01,702,0
2022-12-02,702,0
2022-12-03,695,0
2022-12-04,619,0
2022-12-05,609,0
2022-12-06,587,0
2022-12-07,641,0
2022-12-08,643,0
2022-12-09,627,0
2022-12-10,633,0
2022-12-11,634,0
2022-12-12,631,0
2022-12-13,533,0
2022-12-14,622,0
2022-12-15,625,0
2022-12-16,624,0
2022-12-17,613,0
2022-12-18,579,0
2022-12-19,491,0
2022-12-20,491,0
2022-12-21,482,0
2022-12-22,491,0
2022-12-23,492,0
2022-12-24,488,0
2022-12-25,445,0
2022-12-26,388,0
2022-12-27,408,0
2022-12-28,516,0
2022-12-29,525,0
2022-12-30,525,0
2022-12-31,529,0
2023-01-01,535,0
2023-01-02,535,0
2023-01-03,531,0
2023-01-04,505,0
2023-01-05,500,0
2023-01-06,498,0
2023-01-07,508,0
2023-01-08,512,0
2023-01-09,513,0
2023-01-10,542,0
2023-01-11,553,0
2023-01-12,553,0
2023-01-13,547,0
2023-01-14,495,0
2023-01-15,495,0
2023-01-16,489,0
2023-01-17,505,0
2023-01-18,508,0
2023-01-19,566,0
2023-01-20,569,0
2023-01-21,569,0
2023-01-22,563,0
2023-01-23,495,0
2023-01-24,487,0
2023-01-25,499,0
2023-01-26,505,0
2023-01-27,504,0
2023-01-28,499,0
2023-01-29,440,0
2023-01-30,439,0
2023-01-31,432,0
2023-02-01,380,0
2023-02-02,378,0
2023-02-03,372,0
2023-02-04,307,0
2023-02-05,310,0
2023-02-06,310,0
2023-02-07,386,0
2023-02-08,388,0
2023-02-09,387,0
2023-02-10,382,0
2023-02-11,346,0
2023-02-12,350,0
2023-02-13,349,0
2023-02-14,384,0
2023-02-15,395,0
2023-02-16,395,0
2023-02-17,395,0
2023-02-18,384,0
2023-02-19,301,0
2023-02-20,411,0
2023-02-21,417,0
2023-02-22,418,0
2023-02-23,417,0
2023-02-24,408,0
2023-02-25,401,0
2023-02-26,400,0
2023-02-27,389,0
2023-02-28,395,0
2023-03-01,428,0
2023-03-02,431,0
2023-03-03,428,0
2023-03-04,380,0
2023-03-05,376,0
2023-03-06,418,0
2023-03-07,428,0
2023-03-08,431,0
2023-03-09,431,0
2023-03-10,428,0
2023-03-11,415,0
2023-03-12,375,0
2023-03-13,454,0
2023-03-14,461,0
2023-03-15,461,0
2023-03-16,460,0
2023-03-17,307,0
2023-03-18,277,0
2023-03-19,303,0
2023-03-20,363,0
2023-03-21,370,0
2023-03-22,396,0
2023-03-23,401,0
2023-03-24,401,0
2023-03-25,396,0
2023-03-26,276,0
2023-03-27,266,0
2023-03-28,266,0
2023-03-29,263,0
2023-03-30,20,0
2023-03-31,16,0
2023-04-01,17,0
2023-04-02,18,0
