Date of onset of symptoms,Suspected,Cumulative
2022-10-01,3,0
2022-10-02,3,0
2022-10-03,3,0
2022-10-04,11,0
2022-10-05,47,0
2022-10-06,61,0
2022-10-07,45,0
2022-10-08,44,1
2022-10-09,123,2
2022-10-10,163,2
2022-10-11,163,2
2022-10-12,224,3
2022-10-13,226,3
2022-10-14,212,5
2022-10-15,239,6
2022-10-16,194,8
2022-10-17,152,8
2022-10-18,126,9
2022-10-19,174,11
2022-10-20,160,11
2022-10-21,167,12
2022-10-22,208,13
2022-10-23,214,15
2022-10-24,229,16
2022-10-25,230,17
2022-10-26,255,18
2022-10-27,314,19
2022-10-28,313,20
2022-10-29,398,24
2022-10-30,398,26
2022-10-31,439,28
2022-11-01,419,31
2022-11-02,358,33
2022-11-03,420,36
2022-11-04,421,38
2022-11-05,459,40
2022-11-06,459,43
2022-11-07,422,45
2022-11-08,425,49
2022-11-09,488,50
2022-11-10,408,52
2022-11-11,408,55
2022-11-12,441,57
2022-11-13,471,59
2022-11-14,401,63
2022-11-15,444,65
2022-11-16,434,67
2022-11-17,431,68
2022-11-18,430,70
2022-11-19,321,74
2022-11-20,411,75
2022-11-21,411,78
2022-11-22,424,79
2022-11-23,426,81
2022-11-24,426,84
2022-11-25,423,86
2022-11-26,423,88
2022-11-27,423,90
2022-11-28,394,92
2022-11-29,395,95
2022-11-30,393,98
2022-12-01,404,99
2022-12-02,391,101
2022-12-03,358,104
2022-12-04,356,106
2022-12-05,346,107
2022-12-06,408,109
2022-12-07,393,112
2022-12-08,392,114
2022-12-09,384,116
2022-12-10,352,118
2022-12-11,361,120
2022-12-12,362,122
2022-12-13,346,123
2022-12-14,302,125
2022-12-15,302,127
2022-12-16,279,129
2022-12-17,243,130
2022-12-18,278,131
2022-12-19,230,133
2022-12-20,241,133
2022-12-21,210,136
2022-12-22,275,136
2022-12-23,197,137
2022-12-24,250,139
2022-12-25,233,140
2022-12-26,217,141
2022-12-27,206,143
2022-12-28,208,144
2022-12-29,249,146
2022-12-30,255,147
2022-12-31,256,149
2023-01-01,268,150
2023-01-02,268,151
2023-01-03,221,152
2023-01-04,221,154
2023-01-05,195,155
2023-01-06,195,156
2023-01-07,238,157
2023-01-08,225,158
2023-01-09,212,159
2023-01-10,234,161
2023-01-11,186,163
2023-01-12,239,164
2023-01-13,303,165
2023-01-14,313,168
2023-01-15,313,168
2023-01-16,312,170
2023-01-17,305,172
2023-01-18,305,174
2023-01-19,291,175
2023-01-20,238,176
2023-01-21,239,177
2023-01-22,296,180
2023-01-23,298,181
2023-01-24,298,182
