Epidemiological Week (EW),Number of cases
42,0
43,0
44,0
45,0
46,26
47,69
48,91
49,100
50,122
51,143
52,130
1,104
2,126
3,117
4,200
5,156
6,130
7,169
8,143
9,130
10,143
11,165
12,117
13,82
14,117
15,74
16,78
17,117
18,169
19,213
20,378
21,565
22,987
23,1783
24,1892
25,1104
26,1265
27,956
28,791
29,778
30,669
31,600
32,630
33,578
34,500
35,487
36,322
37,282
38,348
39,287
40,196
41,217
42,226
43,200
44,191
45,226
46,182
47,156
48,139
49,339
50,222
51,126
52,100
1,96
2,100
3,69
4,65
5,52
6,96
7,65
8,30
9,54
10,17
11,26
12,26
13,30
14,26
15,213
16,639
17,200
18,156
19,165
20,348
21,435
22,261
23,313
24,213
25,156
26,69
27,43
28,117
29,43
30,43
31,52
32,169
33,413
34,248
35,213
36,143
37,148
38,109
39,52
40,26
41,43
42,26
43,39
44,374
45,378
46,178
47,165
48,69
49,191
50,69
51,82
52,87
1,165
2,143
3,113
4,87
5,65
6,69
7,43
8,26
9,39
10,17
11,0
12,17
13,0
14,0
15,0
16,13
17,0
18,0
19,0
20,0
21,0
22,13
23,17
24,17
25,0
26,0
27,0
28,0
29,13
30,0
31,13
32,52
33,26
34,26
35,104
36,39
37,30
38,13
39,17
40,26
41,17
42,17
43,13
44,43
45,26
