Date Seen,MPULUNGU,NSAMA,NCHELENGE,MWASABOMBWE,LUSANGAZI,CHIPANGALI,CHIPATA,VUBWI
21st Jan 2023,0,0,0,0,0,0,0,1
22nd Jan 2023,0,0,0,0,0,0,0,3
23rd Jan 2023,0,0,0,0,0,0,0,0
24th Jan 2023,0,0,0,0,0,0,0,3
25th Jan 2023,0,0,0,0,0,0,0,1
26th Jan 2023,0,0,0,1,0,0,0,2
27th Jan 2023,0,0,0,1,0,0,0,7
28th Jan 2023,0,0,0,2,0,0,0,0
29th Jan 2023,0,0,0,1,0,0,0,4
30th Jan 2023,0,0,0,2,0,0,0,3
31st Jan 2023,0,0,0,1,0,0,0,1
1st Feb 2023,0,0,0,1,0,0,0,1
2nd Feb 2023,0,0,0,3,0,0,0,1
3rd Feb 2023,0,0,0,5,0,0,0,4
4th Feb 2023,0,0,0,5,0,0,0,7
5th Feb 2023,0,0,0,1,0,0,0,6
6th Feb 2023,0,0,0,2,0,0,6,6
7th Feb 2023,0,0,0,5,0,0,2,10
8th Feb 2023,0,0,0,2,0,0,4,4
9th Feb 2023,0,0,3,1,0,1,0,4
10th Feb 2023,0,0,0,3,0,0,1,2
11th Feb 2023,0,0,0,0,0,0,2,1
12th Feb 2023,0,0,1,0,0,0,1,0
13th Feb 2023,0,0,0,0,0,0,1,0
14th Feb 2023,0,0,1,3,0,1,2,0
15th Feb 2023,0,0,0,5,0,4,1,0
16th Feb 2023,0,0,0,1,0,1,1,1
17th Feb 2023,0,0,2,1,0,2,2,1
18th Feb 2023,0,0,2,1,0,0,0,1
19th Feb 2023,0,0,0,3,1,0,2,2
20th Feb 2023,0,0,0,4,0,0,2,0
21st Feb 2023,0,0,1,0,0,0,1,0
22nd Feb 2023,0,0,0,0,0,0,1,1
23rd Feb 2023,0,0,3,0,0,0,1,0
24th Feb 2023,0,0,1,0,0,1,2,1
25th Feb 2023,0,0,1,0,0,0,0,0
26th Feb 2023,0,0,0,0,0,0,0,0
27th Feb 2023,0,0,0,0,0,0,1,0
28th Feb 2023,0,0,0,0,0,0,0,0
1st Mar 2023,0,0,0,0,0,0,1,0
2nd Mar 2023,0,0,0,0,0,0,0,0
3rd Mar 2023,0,0,2,0,0,12,0,0
4th Mar 2023,0,0,1,0,0,0,0,1
5th Mar 2023,0,0,1,0,0,2,0,0
6th Mar 2023,0,0,1,0,0,0,0,0
7th Mar 2023,0,0,2,0,0,1,0,1
8th Mar 2023,0,0,0,0,0,0,0,0
9th Mar 2023,0,0,0,0,0,1,0,0
10th Mar 2023,0,0,2,0,0,0,0,0
11th Mar 2023,0,0,2,0,0,0,0,0
12th Mar 2023,0,0,3,0,0,0,0,0
13th Mar 2023,0,1,1,0,0,0,0,0
14th Mar 2023,0,3,0,0,0,0,0,0
15th Mar 2023,0,5,3,0,0,0,0,0
16th Mar 2023,0,7,0,0,0,0,0,0
17th Mar 2023,0,2,2,0,0,0,2,0
18th Mar 2023,0,3,1,0,0,0,0,0
19th Mar 2023,0,7,2,0,0,0,0,0
20th Mar 2023,0,3,5,0,0,0,0,0
21st Mar 2023,0,0,2,0,0,0,0,0
22nd Mar 2023,0,2,1,0,0,0,0,0
23rd Mar 2023,0,3,1,0,0,0,0,0
24th Mar 2023,0,4,0,0,0,0,1,0
25th Mar 2023,0,1,0,0,0,0,1,1
26th Mar 2023,0,2,0,0,0,0,0,0
27th Mar 2023,0,1,0,0,0,0,0,0
28th Mar 2023,0,0,1,0,0,0,1,0
29th Mar 2023,0,6,1,0,0,0,1,0
30th Mar 2023,2,8,2,0,0,0,0,0
31st Mar 2023,0,1,1,0,0,0,0,0
1st Apr 2023,0,2,0,0,0,0,0,0
2nd Apr 2023,0,0,3,0,0,0,0,0
3rd Apr 2023,0,2,1,0,0,0,0,0
4th Apr 2023,0,2,0,0,0,0,0,0
5th Apr 2023,0,0,0,0,0,0,0,0
6th Apr 2023,0,6,1,0,0,0,0,0
7th Apr 2023,0,0,0,0,0,0,0,0
8th Apr 2023,0,1,0,0,0,0,0,0
9th Apr 2023,0,1,0,0,0,0,0,0
10th Apr 2023,0,1,0,0,0,0,0,0
11th Apr 2023,0,2,0,0,0,0,0,0
12th Apr 2023,0,0,0,0,0,0,0,0
13th Apr 2023,0,0,0,0,0,0,0,0
14th Apr 2023,2,0,1,0,0,0,0,0
15th Apr 2023,4,0,0,0,0,0,0,0
16th Apr 2023,0,0,0,0,0,0,0,0
17th Apr 2023,9,0,0,0,0,0,0,0
18th Apr 2023,1,0,0,0,0,0,0,0
19th Apr 2023,3,0,0,0,0,0,0,0
20th Apr 2023,8,0,0,0,0,0,0,0
21st Apr 2023,9,0,0,0,0,0,0,0
22nd Apr 2023,8,0,3,0,0,0,0,0
