Notification date,Suspected,Confirmed Case
02 Feb,0,1
03 Feb,0,1
04 Feb,0,0
05 Feb,0,1
06 Feb,0,0
07 Feb,0,0
08 Feb,0,0
09 Feb,0,0
10 Feb,0,0
11 Feb,0,0
12 Feb,0,0
13 Feb,0,0
14 Feb,0,0
15 Feb,0,0
16 Feb,0,0
17 Feb,0,0
18 Feb,0,0
19 Feb,0,1
20 Feb,0,0
21 Feb,0,1
22 Feb,0,0
23 Feb,0,0
24 Feb,0,0
25 Feb,0,0
26 Feb,0,0
27 Feb,0,0
28 Feb,0,0
01 Mar,0,0
02 Mar,0,0
03 Mar,0,0
04 Mar,0,0
05 Mar,0,0
06 Mar,0,0
07 Mar,0,0
08 Mar,0,0
09 Mar,0,0
10 Mar,0,0
11 Mar,0,0
12 Mar,0,0
13 Mar,0,0
14 Mar,0,0
15 Mar,0,0
16 Mar,0,0
17 Mar,0,0
18 Mar,0,0
19 Mar,0,0
20 Mar,0,0
21 Mar,0,0
22 Mar,0,0
23 Mar,0,3
24 Mar,0,0
25 Mar,0,0
26 Mar,0,0
27 Mar,0,1
28 Mar,0,0
29 Mar,0,1
30 Mar,0,0
31 Mar,0,0
01 Apr,0,0
02 Apr,0,0
03 Apr,0,0
04 Apr,1,0
05 Apr,0,0
06 Apr,0,0
07 Apr,0,0
08 Apr,0,0
09 Apr,2,0
10 Apr,0,0
11 Apr,0,0
12 Apr,0,0
13 Apr,1,0
14 Apr,0,0
15 Apr,1,0
16 Apr,0,0
17 Apr,2,0
18 Apr,1,0
19 Apr,0,0
20 Apr,0,0
21 Apr,0,0
22 Apr,0,0
23 Apr,0,0
24 Apr,0,0
25 Apr,0,0
26 Apr,2,0
27 Apr,0,0
28 Apr,0,0
29 Apr,1,0
30 Apr,0,0
01 May,3,0
02 May,0,0
03 May,2,0
04 May,5,0
05 May,10,0
06 May,5,0
07 May,1,0
08 May,4,0
09 May,7,0
10 May,13,0
11 May,7,0
12 May,3,0
13 May,7,0
14 May,8,0
15 May,8,0
16 May,13,1
17 May,17,0
18 May,12,1
19 May,48,8
20 May,35,1
21 May,60,18
22 May,55,10
23 May,64,6
24 May,83,20
25 May,69,13
26 May,50,0
27 May,19,0
28 May,60,22
29 May,30,6
30 May,30,11
31 May,25,4
01 Jun,47,12
02 Jun,30,12
03 Jun,0,5
04 Jun,7,0
05 Jun,28,6
06 Jun,29,5
07 Jun,28,7
08 Jun,19,4
09 Jun,65,3
10 Jun,3,0
11 Jun,4,0
12 Jun,30,0
13 Jun,11,3
14 Jun,3,1
