Date,Cases in persons >5 yr old,Cases in persons <5 yr old,Percentage of cases in persons <5 yr old (7-day average)
2010-10-20,1940,160,
2010-10-21,1946,161,
2010-10-22,2087,167,
2010-10-23,1957,303,
2010-10-24,1782,303,
2010-10-25,1403,274,
2010-10-26,1796,190,866
2010-10-27,1137,173,914
2010-10-28,690,167,942
2010-10-29,967,156,1035
2010-10-30,732,170,1052
2010-10-31,696,110,1058
2010-11-01,735,156,1097
2010-11-02,871,173,1247
2010-11-03,936,156,1267
2010-11-04,933,167,1270
2010-11-05,639,88,1267
2010-11-06,1346,150,1247
2010-11-07,2022,167,1233
2010-11-08,1689,308,1211
2010-11-09,1951,320,1165
2010-11-10,1951,320,1140
2010-11-11,1793,337,1154
2010-11-12,2048,342,1154
2010-11-13,2082,308,1157
2010-11-14,2506,320,1151
2010-11-15,2480,506,1171
2010-11-16,2020,506,1171
2010-11-17,2387,376,1185
2010-11-18,2461,359,1185
2010-11-19,1821,365,1157
2010-11-20,2101,399,1194
2010-11-21,2381,269,1194
2010-11-22,2486,224,1179
2010-11-23,2447,263,1179
2010-11-24,2044,207,1072
2010-11-25,2071,178,1001
2010-11-26,2014,218,962
2010-11-27,2071,161,942
2010-11-28,1889,218,863
2010-11-29,2296,207,778
2010-11-30,2240,274,781
2010-12-01,2246,263,798
2010-12-02,2184,246,817
2010-12-03,2019,235,817
2010-12-04,2511,173,832
2010-12-05,2494,207,829
2010-12-06,2449,263,812
2010-12-07,1980,257,792
2010-12-08,2050,218,778
2010-12-09,2268,173,789
2010-12-10,2435,224,769
2010-12-11,2353,235,767
2010-12-12,3129,240,767
2010-12-13,3428,382,778
2010-12-14,3710,405,752
2010-12-15,3428,405,775
2010-12-16,3456,365,778
2010-12-17,2828,354,784
2010-12-18,3068,419,806
2010-12-19,2851,413,798
2010-12-20,2839,320,826
2010-12-21,2721,303,803
2010-12-22,2371,325,815
2010-12-23,2302,218,806
2010-12-24,2217,252,834
2010-12-25,2461,308,834
2010-12-26,2262,286,843
2010-12-27,2178,212,834
2010-12-28,1827,207,843
2010-12-29,1844,173,837
2010-12-30,1714,184,812
2010-12-31,1720,184,809
2011-01-01,1906,190,767
2011-01-02,1932,201,778
2011-01-03,1730,207,758
2011-01-04,1615,207,758
2011-01-05,1555,156,789
2011-01-06,1516,195,817
2011-01-07,1504,207,863
2011-01-08,1505,212,885
2011-01-09,1544,173,894
2011-01-10,1460,178,899
2011-01-11,1436,190,914
2011-01-12,1465,161,928
2011-01-13,1295,167,933
2011-01-14,1392,161,931
2011-01-15,1578,184,916
2011-01-16,1544,212,925
2011-01-17,1324,195,942
2011-01-18,1256,201,998
2011-01-19,1250,207,1010
2011-01-20,1245,212,1049
2011-01-21,1296,212,1064
2011-01-22,1346,190,1081
2011-01-23,1346,190,1100
2011-01-24,1278,184,1092
2011-01-25,1035,190,1089
2011-01-26,882,190,1100
2011-01-27,910,156,1100
2011-01-28,815,161,1095
2011-01-29,842,190,1179
2011-01-30,868,170,1191
2011-01-31,848,150,1208
2011-02-01,877,150,1225
2011-02-02,871,156,1230
2011-02-03,730,133,1230
2011-02-04,798,167,1256
2011-02-05,690,195,1276
2011-02-06,797,173,1301
2011-02-07,724,139,1321
2011-02-08,679,178,1383
2011-02-09,594,105,1389
2011-02-10,769,122,1406
2011-02-11,730,161,1411
2011-02-12,633,156,1414
2011-02-13,829,133,1406
2011-02-14,804,161,1372
2011-02-15,656,161,1361
2011-02-16,787,93,1361
2011-02-17,838,93,1321
2011-02-18,764,161,1242
2011-02-19,690,156,1236
2011-02-20,684,116,1211
2011-02-21,719,127,1211
2011-02-22,554,122,1208
2011-02-23,565,105,1213
2011-02-24,645,116,1298
2011-02-25,713,110,1301
2011-02-26,724,99,1284
2011-02-27,696,127,1267
2011-02-28,673,127,1219
2011-03-01,481,116,1242
2011-03-02,436,110,1230
2011-03-03,520,105,1259
2011-03-04,594,105,1304
2011-03-05,623,127,1355
2011-03-06,616,122,1383
2011-03-07,577,161,1440
2011-03-08,526,139,1445
2011-03-09,684,133,1462
2011-03-10,769,133,1468
2011-03-11,787,161,1440
2011-03-12,623,161,1423
2011-03-13,514,156,1389
2011-03-14,591,156,1426
2011-03-15,458,133,1426
2011-03-16,387,125,1462
2011-03-17,492,88,1508
2011-03-18,515,184,1638
2011-03-19,436,212,1773
2011-03-20,345,212,1824
2011-03-21,382,187,1921
2011-03-22,271,190,2017
2011-03-23,317,133,2085
2011-03-24,407,133,2093
2011-03-25,407,133,2093
2011-03-26,322,133,2079
2011-03-27,560,110,2076
2011-03-28,466,190,2045
2011-03-29,339,190,2011
2011-03-30,311,144,1983
2011-03-31,396,144,1994
2011-04-01,401,139,2003
2011-04-02,350,139,2003
2011-04-03,334,99,1991
2011-04-04,333,105,1977
2011-04-05,305,116,1960
2011-04-06,453,82,1943
2011-04-07,418,122,1926
2011-04-08,413,116,1858
2011-04-09,371,113,1813
2011-04-10,323,93,1785
2011-04-11,385,93,1728
2011-04-12,333,105,1683
2011-04-13,350,105,1624
2011-04-14,447,105,1649
2011-04-15,452,105,1643
2011-04-16,504,76,1615
2011-04-17,390,99,1522
2011-04-18,373,88,1474
2011-04-19,419,93,1440
2011-04-20,470,82,1414
2011-04-21,430,116,1392
2011-04-22,453,133,1474
2011-04-23,475,105,1510
2011-04-24,447,110,1522
2011-04-25,425,110,1530
2011-04-26,407,105,1530
2011-04-27,588,99,1544
2011-04-28,565,88,1556
2011-04-29,628,105,1547
2011-04-30,634,116,1445
2011-05-01,639,116,1389
2011-05-02,600,110,1349
2011-05-03,600,110,1327
2011-05-04,753,93,1247
2011-05-05,794,122,1230
2011-05-06,628,116,1185
2011-05-07,713,93,1230
2011-05-08,690,116,1168
2011-05-09,662,110,1140
2011-05-10,599,105,1140
2011-05-11,634,93,1120
2011-05-12,678,122,1112
2011-05-13,634,110,1103
2011-05-14,583,99,1129
2011-05-15,741,110,1146
2011-05-16,617,110,1146
2011-05-17,622,105,1163
2011-05-18,747,110,1163
2011-05-19,752,105,1171
2011-05-20,769,116,1160
2011-05-21,735,105,1129
2011-05-22,821,127,1117
2011-05-23,826,127,1089
2011-05-24,860,105,1075
2011-05-25,1289,224,1032
2011-05-26,1538,224,1013
2011-05-27,1363,190,1013
2011-05-28,1343,150,1007
2011-05-29,1482,212,996
2011-05-30,1595,224,987
2011-05-31,1352,240,1018
2011-06-01,1652,246,1035
2011-06-02,1652,246,1055
2011-06-03,1647,240,1066
2011-06-04,1703,291,1112
2011-06-05,1669,348,1160
2011-06-06,1674,348,1165
2011-06-07,1697,297,1177
2011-06-08,1714,320,1177
2011-06-09,1545,274,1211
2011-06-10,1457,294,1239
2011-06-11,1244,269,1247
2011-06-12,1234,240,1259
2011-06-13,1137,235,1259
2011-06-14,1279,212,1267
2011-06-15,1211,280,1281
2011-06-16,1259,257,1301
2011-06-17,1193,252,1307
2011-06-18,1352,212,1304
2011-06-19,1360,215,1287
2011-06-20,1171,195,1236
2011-06-21,1137,252,1225
2011-06-22,1335,246,1222
2011-06-23,1177,212,1233
2011-06-24,1092,184,1233
2011-06-25,1075,201,1163
2011-06-26,933,201,1196
2011-06-27,1044,201,1228
2011-06-28,1052,190,1222
2011-06-29,1047,195,1245
2011-06-30,989,190,1236
2011-07-01,1029,184,1239
2011-07-02,933,190,1230
2011-07-03,933,190,1230
2011-07-04,865,150,1230
2011-07-05,984,201,1236
2011-07-06,894,184,1236
2011-07-07,871,184,1250
2011-07-08,826,178,1264
2011-07-09,832,150,1273
2011-07-10,792,150,1273
2011-07-11,939,150,1278
2011-07-12,814,201,1278
2011-07-13,899,156,1281
2011-07-14,916,139,1270
2011-07-15,1143,178,1270
2011-07-16,1200,127,1225
2011-07-17,1149,178,1202
2011-07-18,934,127,1131
2011-07-19,1035,167,1109
2011-07-20,786,167,1072
2011-07-21,826,122,1047
2011-07-22,656,156,1069
2011-07-23,713,144,1129
2011-07-24,651,93,1126
2011-07-25,792,105,1196
2011-07-26,812,144,1196
2011-07-27,854,133,1213
2011-07-28,735,133,1199
2011-07-29,900,144,1199
2011-07-30,747,133,1168
2011-07-31,741,133,1168
2011-08-01,741,150,1174
2011-08-02,594,139,1168
2011-08-03,656,116,1174
2011-08-04,656,105,1188
2011-08-05,583,116,1188
2011-08-06,633,122,1208
2011-08-07,476,93,1236
2011-08-08,639,99,1245
2011-08-09,554,105,1222
2011-08-10,554,105,1230
2011-08-11,413,122,1287
2011-08-12,475,122,1315
2011-08-13,435,88,1315
2011-08-14,503,88,1324
2011-08-15,492,99,1315
2011-08-16,470,99,1324
2011-08-17,469,88,1321
2011-08-18,459,110,1321
2011-08-19,430,93,1321
2011-08-20,408,93,1366
2011-08-21,385,93,1366
2011-08-22,521,93,1389
2011-08-23,509,82,1394
2011-08-24,515,93,1394
2011-08-25,515,93,1346
2011-08-26,504,99,1332
2011-08-27,492,82,1276
2011-08-28,560,82,1262
2011-08-29,543,99,1230
2011-08-30,582,88,1205
2011-08-31,577,88,1191
2011-09-01,588,82,1191
2011-09-02,577,93,1163
2011-09-03,577,99,1140
2011-09-04,656,82,1123
2011-09-05,617,116,1140
2011-09-06,586,93,1157
2011-09-07,575,110,1191
2011-09-08,555,93,1194
2011-09-09,554,88,1194
2011-09-10,560,82,1179
2011-09-11,611,99,1171
2011-09-12,594,82,1117
2011-09-13,577,99,1131
2011-09-14,656,105,1092
2011-09-15,599,105,1095
2011-09-16,566,93,1109
2011-09-17,566,93,1114
2011-09-18,790,59,1106
2011-09-19,611,122,1103
2011-09-20,599,71,1103
2011-09-21,582,88,1103
2011-09-22,622,88,1052
2011-09-23,611,99,1078
2011-09-24,594,105,1106
2011-09-25,729,105,1120
2011-09-26,712,122,1117
2011-09-27,724,127,1129
2011-09-28,729,122,1112
2011-09-29,701,150,1182
2011-09-30,662,116,1168
2011-10-01,577,110,1165
2011-10-02,594,93,1146
2011-10-03,724,116,1154
2011-10-04,752,99,1148
2011-10-05,735,122,1131
2011-10-06,656,122,1131
2011-10-07,696,127,1179
2011-10-08,693,99,1174
2011-10-09,639,139,1211
2011-10-10,668,110,1208
2011-10-11,651,110,1247
2011-10-12,645,122,1256
2011-10-13,639,122,1262
2011-10-14,611,110,1253
2011-10-15,701,122,1259
2011-10-16,718,122,1211
2011-10-17,713,133,1211
2011-10-18,724,116,1208
2011-10-19,696,133,1208
2011-10-20,656,116,1191
2011-10-21,611,122,1202
2011-10-22,639,88,1205
2011-10-23,645,88,1208
2011-10-24,588,88,1179
2011-10-25,560,82,1168
2011-10-26,532,71,1126
2011-10-27,515,88,1117
2011-10-28,509,71,1058
2011-10-29,520,88,1083
2011-10-30,574,88,1106
2011-10-31,554,105,1174
2011-11-01,571,88,1174
2011-11-02,571,88,1191
2011-11-03,374,76,1185
2011-11-04,444,71,1230
2011-11-05,447,59,1230
2011-11-06,430,76,1230
2011-11-07,430,71,1236
2011-11-08,418,71,1239
2011-11-09,402,59,1219
2011-11-10,393,65,1236
2011-11-11,351,48,1174
2011-11-12,379,65,1188
2011-11-13,373,65,1174
2011-11-14,357,59,1174
2011-11-15,340,59,1134
2011-11-16,334,59,1163
2011-11-17,278,42,1171
2011-11-18,263,48,1168
2011-11-19,249,48,1191
2011-11-20,249,42,1194
2011-11-21,238,42,1208
2011-11-22,209,37,1222
2011-11-23,198,31,1216
2011-11-24,203,9,1208
2011-11-25,170,20,1213
2011-11-26,206,26,1163
2011-11-27,198,20,1143
2011-11-28,198,20,1131
2011-11-29,159,31,1097
2011-11-30,176,31,1123
2011-12-01,135,9,1123
2011-12-02,169,9,1131
2011-12-03,175,20,1129
2011-12-04,158,26,1140
2011-12-05,164,20,1146
2011-12-06,158,20,1143
2011-12-07,130,20,1114
2011-12-08,124,20,1168
2011-12-09,124,9,1208
2011-12-10,119,14,1259
2011-12-11,113,14,1270
2011-12-12,125,14,1346
2011-12-13,125,14,1372
2011-12-14,125,14,1372
2011-12-15,116,0,1372
2011-12-16,127,26,1366
2011-12-17,156,0,1346
2011-12-18,136,20,1346
2011-12-19,102,20,1389
2011-12-20,73,26,1462
2011-12-21,74,14,1508
2011-12-22,62,20,1575
2011-12-23,142,14,1649
2011-12-24,108,31,1700
2011-12-25,108,14,1663
2011-12-26,80,42,1813
2011-12-27,102,42,1870
2011-12-28,62,26,1901
2011-12-29,62,26,1915
2011-12-30,84,26,2102
2011-12-31,79,31,2164
2012-01-01,68,31,2232
2012-01-02,56,37,2243
2012-01-03,62,31,2268
2012-01-04,73,20,2260
2012-01-05,62,26,2260
2012-01-06,62,26,2243
2012-01-07,57,31,2328
2012-01-08,68,20,2373
2012-01-09,46,42,2396
2012-01-10,68,20,2401
2012-01-11,62,20,2413
2012-01-12,56,20,2421
2012-01-13,56,26,2415
2012-01-14,57,31,2418
2012-01-15,51,31,2464
2012-01-16,45,31,2571
2012-01-17,40,31,2628
2012-01-18,51,14,2696
2012-01-19,50,26,2735
2012-01-20,40,31,2814
2012-01-21,34,37,2826
2012-01-22,45,26,2860
2012-01-23,39,26,2930
2012-01-24,28,37,2981
2012-01-25,45,20,2995
2012-01-26,51,14,3041
2012-01-27,45,37,3086
2012-01-28,22,26,3007
2012-01-29,17,37,3125
2012-01-30,45,26,3120
2012-01-31,39,26,3080
2012-02-01,51,20,3007
2012-02-02,62,14,3004
2012-02-03,57,31,2978
2012-02-04,39,20,2893
2012-02-05,33,26,2769
2012-02-06,68,20,2704
2012-02-07,39,20,2619
2012-02-08,45,14,2537
2012-02-09,45,26,2475
2012-02-10,39,26,2509
2012-02-11,39,20,2520
2012-02-12,39,26,2594
2012-02-13,39,26,2673
2012-02-14,11,31,2882
2012-02-15,65,14,2893
2012-02-16,62,20,2893
2012-02-17,45,20,2893
2012-02-18,56,20,2797
2012-02-19,56,20,2797
2012-02-20,34,20,2758
2012-02-21,39,20,2662
2012-02-22,45,26,2580
2012-02-23,11,48,2814
2012-02-24,34,31,2848
2012-02-25,45,14,2882
2012-02-26,45,26,2995
2012-02-27,62,14,2995
2012-02-28,28,14,2976
2012-02-29,40,14,2927
2012-03-01,39,20,2973
2012-03-02,34,20,2888
2012-03-03,40,14,2797
2012-03-04,28,26,2721
2012-03-05,34,20,2792
2012-03-06,51,14,2794
2012-03-07,65,0,2786
2012-03-08,34,20,2763
2012-03-09,45,31,2854
2012-03-10,45,31,2814
2012-03-11,56,26,2882
2012-03-12,33,26,2854
2012-03-13,33,26,3041
2012-03-14,33,26,3041
2012-03-15,34,37,3075
2012-03-16,22,37,3091
2012-03-17,50,26,3162
2012-03-18,50,26,3162
2012-03-19,45,26,3159
2012-03-20,28,31,3091
2012-03-21,50,26,3021
2012-03-22,56,20,2910
2012-03-23,62,20,2843
2012-03-24,62,20,2729
2012-03-25,96,20,2498
2012-03-26,79,14,2384
2012-03-27,62,14,2350
2012-03-28,150,0,2186
2012-03-29,124,20,2102
2012-03-30,107,20,1921
2012-03-31,113,20,1802
2012-04-01,159,31,1706
2012-04-02,176,31,1632
2012-04-03,158,20,1587
2012-04-04,210,14,1553
2012-04-05,193,31,1496
2012-04-06,96,26,1423
2012-04-07,127,0,1420
2012-04-08,113,20,1409
2012-04-09,91,31,1440
2012-04-10,110,31,1496
2012-04-11,164,14,1525
2012-04-12,186,26,1527
2012-04-13,187,37,1522
2012-04-14,187,37,1522
2012-04-15,201,31,1482
2012-04-16,232,37,1505
2012-04-17,215,48,1468
2012-04-18,283,59,1443
2012-04-19,243,65,1468
2012-04-20,272,65,1479
2012-04-21,278,59,1496
2012-04-22,266,65,1558
2012-04-23,255,48,1513
2012-04-24,251,71,1573
2012-04-25,221,76,1592
2012-04-26,237,54,1595
2012-04-27,297,59,1564
2012-04-28,243,71,1558
2012-04-29,305,54,1573
2012-04-30,356,54,1575
2012-05-01,353,68,1513
2012-05-02,430,65,1502
2012-05-03,430,65,1479
2012-05-04,401,71,1403
2012-05-05,346,59,1349
2012-05-06,374,59,1344
2012-05-07,396,59,1310
2012-05-08,444,82,1264
2012-05-09,418,88,1273
2012-05-10,413,82,1281
2012-05-11,345,82,1281
2012-05-12,328,65,1304
2012-05-13,283,65,1349
2012-05-14,283,65,1389
2012-05-15,289,65,1400
2012-05-16,294,48,1434
2012-05-17,237,54,1411
2012-05-18,261,42,1448
2012-05-19,261,59,1451
2012-05-20,255,59,1482
2012-05-21,244,59,1482
2012-05-22,244,59,1482
2012-05-23,254,54,1527
2012-05-24,255,42,1530
2012-05-25,206,51,1474
2012-05-26,206,51,1479
2012-05-27,218,48,1502
2012-05-28,289,76,1508
2012-05-29,294,65,1508
