Epidemiological week,2014,2015,2016,2017
1,448,982,1349,546
2,367,975,1254,423
3,326,750,1145,376
4,326,716,1091,335
5,346,1377,920,246
6,346,975,771,253
7,340,1118,818,287
8,319,968,696,451
9,231,948,743,314
10,183,811,730,280
11,190,675,702,301
12,204,587,607,308
13,197,600,648,301
14,204,709,668,314
15,197,859,559,205
16,197,607,573,185
17,224,716,634,239
18,177,580,805,376
19,163,430,709,318
20,211,362,866,260
21,204,362,668,233
22,224,301,845,253
23,224,355,900,151
24,197,382,818,144
25,204,403,757,137
26,279,410,723,158
27,279,369,587,144
28,313,437,553,151
29,231,444,975,199
30,224,491,825,192
31,217,457,702,205
32,197,342,791,256
33,211,437,771,267
34,265,389,682,251
35,245,437,607,251
36,285,382,628,354
37,414,478,546,343
38,476,485,546,308
39,605,451,491,335
40,747,607,723,273
41,870,505,1213,301
42,1039,444,1472,273
43,1304,641,1213,219
44,1379,662,1043,239
45,1957,1002,1091,171
46,1651,1193,954,220
47,1855,1199,805,266
48,1576,1186,771,267
49,1386,1152,730,204
50,1834,1234,655,222
51,1529,1240,478,11
52,992,1186,437,12
