EW,2012,2013,2014,2015
1,1163,2315,435,991
2,1031,2011,355,965
3,912,1441,316,753
4,845,1123,316,700
5,779,1203,329,1362
6,779,1150,329,978
7,766,1084,329,1110
8,713,991,302,965
9,713,898,223,951
10,753,931,170,806
11,634,726,183,673
12,713,700,197,581
13,819,660,183,620
14,859,634,183,713
15,1243,660,183,845
16,1481,594,183,594
17,1706,594,210,713
18,2699,607,157,581
19,2779,660,157,422
20,3653,673,197,355
21,3811,753,197,355
22,2779,1018,210,302
23,2487,1084,210,355
24,2686,991,183,369
25,2222,991,183,395
26,1680,872,263,382
27,1693,1004,250,355
28,1613,1163,276,408
29,1415,1269,210,435
30,1335,1110,210,475
31,1269,1243,197,408
32,1282,1198,170,263
