Date of Symptom Onset,Number of cases
08/30/15,3
08/31/15,16
09/01/15,0
09/02/15,0
09/03/15,0
09/04/15,0
09/05/15,0
09/06/15,8
09/07/15,0
09/08/15,0
09/09/15,0
09/10/15,0
09/11/15,11
09/12/15,8
09/13/15,24
09/14/15,14
09/15/15,19
09/16/15,67
09/17/15,86
09/18/15,88
09/19/15,67
09/20/15,161
09/21/15,144
09/22/15,144
09/23/15,305
09/24/15,161
09/25/15,123
09/26/15,169
09/27/15,171
09/28/15,88
09/29/15,166
09/30/15,104
10/01/15,104
10/02/15,107
10/03/15,126
10/04/15,120
10/05/15,128
10/06/15,120
10/07/15,64
10/08/15,147
10/09/15,115
10/10/15,102
10/11/15,169
10/12/15,83
10/13/15,120
10/14/15,107
10/15/15,40
10/16/15,115
10/17/15,70
10/18/15,118
10/19/15,80
10/20/15,67
10/21/15,30
10/22/15,78
10/23/15,67
10/24/15,70
10/25/15,51
10/26/15,70
10/27/15,19
10/28/15,19
10/29/15,56
10/30/15,54
10/31/15,48
11/01/15,48
11/02/15,40
11/03/15,35
11/04/15,32
11/05/15,27
11/06/15,38
11/07/15,32
11/08/15,24
11/09/15,30
11/10/15,14
11/11/15,27
11/12/15,16
11/13/15,3
11/14/15,14
11/15/15,0
11/16/15,0
11/17/15,0
