Date of notification,Incident suspect cases,14-day CFR
09/15/22,0,
09/16/22,0,
09/17/22,0,
09/18/22,0,
09/19/22,0,
09/20/22,0,
09/21/22,3,
09/22/22,0,
09/23/22,2,
09/24/22,3,
09/25/22,0,
09/26/22,0,
09/27/22,0,
09/28/22,0,
09/29/22,0,
09/30/22,2,
10/01/22,7,
10/02/22,16,
10/03/22,37,
10/04/22,28,
10/05/22,24,
10/06/22,109,
10/07/22,152,
10/08/22,62,
10/09/22,209,
10/10/22,189,
10/11/22,202,
10/12/22,174,46.9
10/13/22,130,42.4
10/14/22,87,41
10/15/22,149,32.2
10/16/22,132,30.6
10/17/22,122,28.1
10/18/22,135,21.1
10/19/22,154,19.5
10/20/22,173,25
10/21/22,193,24.5
10/22/22,164,16
10/23/22,185,15.4
10/24/22,205,18.2
10/25/22,276,22
10/26/22,239,24.3
10/27/22,331,25.3
10/28/22,358,28.9
10/29/22,310,32.6
10/30/22,286,35
10/31/22,326,43.9
11/01/22,364,44.4
11/02/22,296,39.2
11/03/22,320,36.5
11/04/22,379,34.2
11/05/22,374,37.6
11/06/22,324,39.5
11/07/22,375,37.7
11/08/22,441,34.5
11/09/22,353,37.2
11/10/22,405,34.2
11/11/22,391,34.3
11/12/22,263,33.7
11/13/22,273,32.4
11/14/22,362,29
11/15/22,362,30.1
11/16/22,375,30.3
11/17/22,373,30.4
11/18/22,368,32.7
11/19/22,370,32.6
11/20/22,249,30.2
11/21/22,321,30.2
11/22/22,274,31.9
11/23/22,337,29.9
11/24/22,298,37.1
11/25/22,294,37.9
11/26/22,270,37.7
11/27/22,276,40
11/28/22,276,37
11/29/22,295,35.6
11/30/22,257,40.6
12/01/22,267,43.2
12/02/22,168,61.5
12/03/22,236,65.3
12/04/22,181,70.4
12/05/22,188,82.9
12/06/22,160,77.1
12/07/22,117,62.9
12/08/22,151,54
12/09/22,151,49.4
12/10/22,124,44.7
12/11/22,140,43.3
12/12/22,175,49.8
12/13/22,131,51.9
12/14/22,154,47.1
12/15/22,161,43
12/16/22,160,19.9
12/17/22,140,14
12/18/22,133,14.5
12/19/22,173,14.5
12/20/22,162,15.7
12/21/22,160,20.9
12/22/22,158,23.7
12/23/22,116,23.8
12/24/22,143,26.2
12/25/22,121,25.9
12/26/22,129,24.8
12/27/22,162,24.3
12/28/22,139,25.5
12/29/22,105,26
12/30/22,101,32.7
12/31/22,70,52.6
01/01/23,121,56.6
01/02/23,127,
01/03/23,94,
