Date,Cholera Cases,Deaths,CFR %
2023-02-01,0,0,0
2023-02-02,0,0,0
2023-02-03,0,0,0
2023-02-04,0,0,0
2023-02-05,0,0,0
2023-02-06,0,0,0
2023-02-07,0,0,0
2023-02-08,0,0,0
2023-02-09,0,0,0
2023-02-10,8,0,0
2023-02-11,0,0,0
2023-02-12,0,0,0
2023-02-13,0,0,0
2023-02-14,0,0,0
2023-02-15,0,0,0
2023-02-16,0,0,0
2023-02-17,0,0,0
2023-02-18,0,0,0
2023-02-19,13,0,0
2023-02-20,13,0,0
2023-02-21,0,0,0
2023-02-22,0,0,0
2023-02-23,0,0,0
2023-02-24,0,0,0
2023-02-25,0,0,0
2023-02-26,6,0,0
2023-02-27,6,0,0
2023-02-28,0,0,0
2023-03-01,0,0,0
2023-03-02,0,0,0
2023-03-03,0,0,0
2023-03-04,0,0,0
2023-03-05,0,0,0
2023-03-06,9,0,0
2023-03-07,0,0,0
2023-03-08,0,0,0
2023-03-09,0,0,0
2023-03-10,0,0,0
2023-03-11,0,0,0
2023-03-12,17,0,0
2023-03-13,30,0,0
2023-03-14,22,0,0
2023-03-15,15,0,0
2023-03-16,15,0,0
2023-03-17,15,0,0
2023-03-18,13,0,0
2023-03-19,11,0,0
2023-03-20,11,0,0
2023-03-21,9,0,0
2023-03-22,9,0,0
2023-03-23,0,0,0
2023-03-24,20,0,0
2023-03-25,17,0,0
2023-03-26,17,0,0
2023-03-27,13,0,0
2023-03-28,17,0,0
2023-03-29,11,0,0
2023-03-30,11,0,0
2023-03-31,11,0,0
2023-04-01,15,0,0
2023-04-02,15,0,0
2023-04-03,11,0,0
2023-04-04,20,0,0
2023-04-05,9,0,0
2023-04-06,9,0,0
2023-04-07,0,0,0
2023-04-08,9,0,0
2023-04-09,9,0,0
2023-04-10,0,0,7.92
2023-04-11,0,0,0
2023-04-12,6,0,0
2023-04-13,9,0,0
2023-04-14,11,0,0
2023-04-15,13,0,0
2023-04-16,13,0,0
2023-04-17,0,0,0
2023-04-18,0,0,0
2023-04-19,0,0,0
2023-04-20,13,0,0
2023-04-21,13,0,0
2023-04-22,9,0,0
2023-04-23,0,0,49.68
2023-04-24,0,0,0
2023-04-25,0,0,0
2023-04-26,9,0,0
2023-04-27,9,0,0
2023-04-28,9,0,0
2023-04-29,0,0,0
2023-04-30,0,0,7.44
2023-05-01,11,0,0
2023-05-02,0,0,0
2023-05-03,13,0,3.6
2023-05-04,24,0,0
2023-05-05,28,0,0
2023-05-06,30,0,0
2023-05-07,30,0,4.8
2023-05-08,30,0,0
2023-05-09,30,0,0
