Epi week,Sofala,Gaza,Niassa,Tete,Manica,CFR (%)
W37,0,0,8,0,29,2.8
W38,0,0,70,0,0,1.4
W39,0,0,70,0,0,0.1
W40,0,0,57,0,0,2.3
W41,0,0,21,0,0,9.3
W42,0,0,12,0,0,20.1
W43,0,0,33,0,0,7.6
W44,0,0,62,0,0,1.9
W45,29,0,8,0,0,2.5
W46,29,0,8,0,0,2.8
W47,49,0,8,0,0,0.1
W48,29,0,12,0,0,4.8
W49,62,0,24,0,0,2.1
W50,53,0,58,106,0,0
W51,45,0,41,45,0,0
W52,37,0,82,29,0,0
W1,41,0,111,53,0,0
W2,62,24,189,61,0,0
W3,82,16,263,94,0,0
W4,160,0,271,106,0,0
W5,176,0,230,156,0,0
W6,181,0,287,217,0,0.7
W7,185,0,205,213,0,0.3
