Week,A (H1),A (H1N1)pdm09,A (H3),A (H5),A not subtyped,B (Victoria),B (Yamagata),B (lineage not determined)
1,0,0,1569,0,0,0,0,0
2,0,0,1569,0,0,0,0,0
3,0,0,1569,0,0,0,0,0
4,0,0,1884,0,0,0,0,0
5,0,0,1884,0,472,0,0,0
6,0,939,1260,0,630,0,0,0
7,0,939,1575,0,472,0,0,0
8,0,624,2205,0,630,0,0,0
9,0,1569,2520,0,1890,0,0,0
10,0,1884,3150,0,3465,0,0,4252
11,0,2199,4095,0,5984,0,0,0
12,0,2199,6300,0,12599,0,0,0
13,0,3144,6615,0,16694,0,0,13859
14,0,4404,6929,0,18899,0,4568,13702
15,0,4719,6929,0,20159,0,5040,15434
16,0,5349,6299,0,20159,0,5040,16694
17,0,5349,5984,0,20159,0,5355,0
18,0,4719,4725,0,19529,0,0,27403
19,0,3774,4095,0,17324,0,0,27718
20,0,3774,3780,0,13229,0,0,24569
21,0,4089,3150,0,12914,0,0,0
22,0,3459,2205,0,8504,0,0,0
23,0,3144,2205,0,6929,0,0,13860
24,0,2514,1890,0,6299,0,0,10710
25,0,2199,1890,0,5040,0,0,8189
26,0,1569,1575,0,4095,0,0,0
27,0,939,1575,0,3150,0,0,4409
28,0,939,630,0,2205,0,0,2992
29,0,0,1411,0,788,0,0,2362
30,0,0,1096,0,630,0,0,0
31,0,0,0,0,0,0,0,1726
32,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0
51,0,0,781,0,0,0,0,0
52,0,0,0,0,0,0,0,0
53,0,0,1096,0,315,0,0,0
54,0,939,0,0,0,0,0,0
55,0,1254,0,0,2041,0,0,0
56,0,1254,0,0,2199,0,0,0
57,0,1254,472,0,630,0,0,0
58,0,1569,787,0,0,0,0,0
59,0,1884,472,0,1733,0,0,0
60,0,2199,787,0,2363,0,0,0
61,0,2829,945,0,0,0,0,0
62,0,4089,3465,0,3464,0,0,0
63,0,5664,1575,0,9764,0,0,0
64,0,6924,1732,0,11812,0,0,0
65,0,8814,2519,0,12285,0,0,0
66,0,14483,5355,0,11024,0,0,0
67,0,14798,5040,0,16694,0,0,0
68,0,14168,6930,0,21419,0,0,0
69,0,12908,6930,0,28349,0,0,0
70,0,11648,8190,0,31341,0,0,0
71,0,9601,7087,0,28034,0,0,0
72,0,7554,6929,0,22994,0,0,0
73,0,5979,6299,0,20474,0,0,0
