Week of report,Cases
2022 02 28,0
2022 03 07,0
2022 03 14,0
2022 03 21,0
2022 03 28,0
2022 04 04,0
2022 04 11,0
2022 04 18,0
2022 04 25,0
2022 05 02,34
2022 05 09,99
2022 05 16,60
2022 05 23,138
2022 05 30,99
2022 06 06,60
2022 06 13,56
2022 06 20,56
2022 06 27,47
2022 07 04,60
2022 07 11,46
2022 07 18,67
2022 07 25,65
2022 08 01,22
2022 08 08,73
2022 08 15,344
2022 08 22,138
2022 08 29,357
2022 09 05,564
2022 09 12,306
2022 09 19,254
2022 09 26,370
2022 10 03,487
2022 10 10,525
2022 10 17,538
2022 10 24,616
2022 10 31,900
2022 11 07,926
2022 11 14,822
2022 11 21,1287
2022 11 28,990
2022 12 05,1068
2022 12 12,1042
2022 12 19,1585
2022 12 26,2657
2023 01 02,3173
2023 01 09,3612
2023 01 16,4000
2023 01 23,4208
2023 01 30,4542
2023 02 06,3793
2023 02 13,3290
2023 02 20,3005
