Weeks,Cases,CFR (%)
Week 9,147,170
Week 10,357,678
Week 11,589,432
Week 12,454,305
Week 13,506,768
Week 14,544,1074
Week 15,1836,1686
Week 16,977,835
Week 17,795,775
Week 18,387,783
Week 19,409,1216
Week 20,379,790
Week 21,327,185
Week 22,267,66
Week 23,379,96
Week 24,417,200
Week 25,656,402
Week 26,656,140
Week 27,521,454
Week 28,323,208
Week 29,282,230
Week 30,193,36
Week 31,98,0
Week 32,88,155
Week 33,58,0
Week 34,58,0
Week 35,43,0
Week 36,27,0
Week 37,20,0
Week 38,0,0
Week 39,0,0
Week 40,0,0
Week 41,18,0
Week 42,0,0
Week 43,18,0
Week 44,52,0
Week 45,73,170
Week 46,111,0
Week 47,111,0
Week 48,215,81
Week 49,289,290
Week 50,267,417
Week 51,215,439
Week 52,342,656
Week 1,596,372
Week 2,648,290
Week 3,895,103
Week 4,730,320
