Date,Cas notifies,Positifs,Decedes
Bar0,1,1,0
Bar1,1,1,0
Bar2,1,1,0
Bar3,1,0,0
Bar4,1,0,0
Bar5,2,0,0
Bar6,5,5,0
Bar7,12,12,0
Bar8,2,2,0
Bar9,4,4,0
Bar10,7,6,0
Bar11,1,1,0
Bar12,6,6,0
Bar13,5,5,0
Bar14,2,2,1
Bar15,6,6,0
Bar16,3,3,0
Bar17,7,7,0
Bar18,2,2,0
Bar19,2,2,0
Bar20,4,4,0
Bar21,4,4,0
Bar22,1,1,0
Bar23,3,3,0
Bar24,3,3,0
Bar25,2,2,0
Bar26,6,6,0
Bar27,2,2,0
Bar28,1,1,0
Bar29,3,3,0
Bar30,2,2,0
Bar31,7,7,0
Bar32,3,3,0
Bar33,3,3,0
Bar34,1,1,0
Bar35,1,1,0
Bar36,1,1,0
Bar37,1,1,0
Bar38,2,2,0
Bar39,2,2,0
Bar40,2,2,0
Bar41,7,7,0
Bar42,1,1,0
Bar43,1,1,0
Bar44,1,1,0
Bar45,5,5,0
Bar46,4,4,0
Bar47,4,4,0
Bar48,4,4,0
Bar49,6,6,0
Bar50,3,3,0
Bar51,3,3,0
Bar52,3,3,0
Bar53,4,4,0
Bar54,3,3,0
Bar55,4,4,0
Bar56,4,4,0
Bar57,1,1,0
Bar58,5,5,0
Bar59,3,3,0
Bar60,1,1,0
Bar61,3,3,0
Bar62,2,2,0
Bar63,2,2,0
Bar64,2,2,0
Bar65,2,2,0
Bar66,0,0,0
Bar67,7,7,0
Bar68,7,7,0
Bar69,2,2,0
Bar70,2,2,0
Bar71,2,2,0
Bar72,5,5,0
Bar73,4,4,0
Bar74,6,6,0
Bar75,3,3,0
Bar76,2,2,0
Bar77,1,1,0
Bar78,4,4,0
Bar79,4,4,0
Bar80,5,5,0
Bar81,2,2,0
Bar82,8,8,0
Bar83,5,5,0
Bar84,5,5,0
Bar85,2,2,0
Bar86,5,5,0
Bar87,10,10,0
Bar88,8,8,0
Bar89,7,7,2
Bar90,8,8,0
Bar91,6,6,0
Bar92,3,3,0
Bar93,2,2,0
Bar94,4,4,0
Bar95,6,6,0
Bar96,5,5,0
Bar97,7,7,0
Bar98,1,1,0
Bar99,6,6,0
Bar100,4,4,0
Bar101,3,3,0
Bar102,2,2,0
Bar103,4,4,0
Bar104,3,3,0
Bar105,3,3,0
