Date Case reported,Cases,Deaths
03/03/22,0,0
03/04/22,0,0
03/05/22,0,0
03/06/22,0,0
03/07/22,0,0
03/08/22,0,0
03/09/22,0,0
03/10/22,0,0
03/11/22,0,0
03/12/22,0,0
03/13/22,0,0
03/14/22,0,0
03/15/22,0,0
03/16/22,0,0
03/17/22,0,0
03/18/22,0,0
03/19/22,0,0
03/20/22,0,0
03/21/22,0,0
03/22/22,0,0
03/23/22,0,0
03/24/22,0,0
03/25/22,0,0
03/26/22,0,0
03/27/22,0,0
03/28/22,0,0
03/29/22,0,0
03/30/22,0,0
03/31/22,0,0
04/01/22,0,0
04/02/22,0,0
04/03/22,0,0
04/04/22,0,0
04/05/22,0,0
04/06/22,0,0
04/07/22,0,0
04/08/22,0,0
04/09/22,0,0
04/10/22,0,0
04/11/22,0,0
04/12/22,0,0
04/13/22,0,0
04/14/22,0,0
04/15/22,0,0
04/16/22,0,0
04/17/22,0,0
04/18/22,0,0
04/19/22,0,0
04/20/22,0,0
04/21/22,0,0
04/22/22,0,0
04/23/22,0,0
04/24/22,0,0
04/25/22,0,0
04/26/22,0,0
04/27/22,0,0
04/28/22,0,0
04/29/22,0,0
04/30/22,0,0
05/01/22,0,0
05/02/22,0,0
05/03/22,0,0
05/04/22,0,0
05/05/22,0,0
05/06/22,0,0
05/07/22,0,0
05/08/22,0,0
05/09/22,0,0
05/10/22,0,0
05/11/22,7,0
05/12/22,0,0
05/13/22,0,0
05/14/22,0,0
05/15/22,12,0
05/16/22,15,0
05/17/22,0,0
05/18/22,0,0
05/19/22,4,0
05/20/22,0,0
05/21/22,0,0
05/22/22,0,0
05/23/22,0,0
05/24/22,12,0
05/25/22,25,0
05/26/22,0,0
05/27/22,4,0
05/28/22,20,0
05/29/22,20,0
05/30/22,4,0
05/31/22,0,0
06/01/22,9,0
06/02/22,9,0
06/03/22,0,0
06/04/22,0,0
06/05/22,0,0
06/06/22,12,0
06/07/22,0,0
06/08/22,0,0
06/09/22,0,0
06/10/22,0,0
06/11/22,0,0
06/12/22,0,0
06/13/22,0,0
06/14/22,12,0
06/15/22,5,0
06/16/22,0,0
06/17/22,0,0
06/18/22,0,0
06/19/22,0,0
06/20/22,0,0
06/21/22,0,0
06/22/22,0,0
06/23/22,0,0
06/24/22,0,0
06/25/22,0,0
06/26/22,0,0
06/27/22,0,0
06/28/22,0,0
06/29/22,0,0
06/30/22,0,0
07/01/22,0,0
07/02/22,0,0
07/03/22,0,0
07/04/22,0,0
07/05/22,0,0
07/06/22,0,0
07/07/22,0,0
07/08/22,0,0
07/09/22,0,0
07/10/22,9,0
07/11/22,7,0
07/12/22,0,0
07/13/22,0,0
07/14/22,0,0
07/15/22,0,0
07/16/22,0,0
07/17/22,0,0
07/18/22,0,0
07/19/22,9,0
07/20/22,0,0
07/21/22,0,0
07/22/22,0,0
07/23/22,9,0
07/24/22,0,0
07/25/22,0,0
07/26/22,0,0
07/27/22,0,0
07/28/22,4,0
07/29/22,0,0
07/30/22,0,0
07/31/22,0,0
08/01/22,0,0
08/02/22,0,0
08/03/22,0,0
08/04/22,0,0
08/05/22,0,0
08/06/22,0,0
08/07/22,0,0
08/08/22,0,0
08/09/22,0,0
08/10/22,0,0
08/11/22,0,0
08/12/22,0,0
08/13/22,0,0
08/14/22,0,0
08/15/22,0,0
08/16/22,0,0
08/17/22,17,0
08/18/22,36,0
08/19/22,44,0
08/20/22,4,0
08/21/22,9,0
08/22/22,33,0
08/23/22,25,0
08/24/22,20,0
08/25/22,20,0
08/26/22,25,0
08/27/22,20,0
08/28/22,20,0
08/29/22,20,0
08/30/22,23,0
08/31/22,57,0
09/01/22,52,0
09/02/22,52,0
09/03/22,46,0
09/04/22,41,0
09/05/22,23,0
09/06/22,33,0
09/07/22,17,0
09/08/22,15,0
09/09/22,84,0
09/10/22,84,0
09/11/22,84,0
09/12/22,52,0
09/13/22,46,0
09/14/22,41,0
09/15/22,41,0
09/16/22,33,0
09/17/22,33,0
09/18/22,23,0
09/19/22,25,0
09/20/22,20,0
09/21/22,9,0
09/22/22,33,0
09/23/22,20,0
09/24/22,20,0
09/25/22,36,0
09/26/22,44,0
09/27/22,31,0
09/28/22,28,0
09/29/22,33,0
09/30/22,62,0
10/01/22,54,0
10/02/22,39,0
10/03/22,60,0
10/04/22,81,0
10/05/22,54,0
10/06/22,52,0
10/07/22,54,0
10/08/22,57,0
10/09/22,52,0
10/10/22,52,0
10/11/22,52,0
10/12/22,62,0
10/13/22,73,0
10/14/22,54,0
10/15/22,89,0
10/16/22,49,0
10/17/22,81,0
10/18/22,57,0
10/19/22,54,0
10/20/22,65,0
10/21/22,97,0
10/22/22,49,0
10/23/22,100,0
10/24/22,97,0
10/25/22,70,0
10/26/22,70,0
10/27/22,73,0
10/28/22,84,0
10/29/22,86,0
10/30/22,108,0
10/31/22,110,0
11/01/22,84,0
11/02/22,97,0
11/03/22,156,0
11/04/22,236,0
11/05/22,238,0
11/06/22,116,0
11/07/22,158,0
11/08/22,169,0
11/09/22,118,0
11/10/22,140,0
11/11/22,196,0
11/12/22,108,0
11/13/22,92,0
11/14/22,124,0
11/15/22,126,0
11/16/22,124,0
11/17/22,124,0
11/18/22,94,0
11/19/22,110,0
11/20/22,105,0
11/21/22,206,0
11/22/22,254,0
11/23/22,190,0
11/24/22,190,0
11/25/22,150,0
11/26/22,166,0
11/27/22,150,0
11/28/22,174,0
11/29/22,142,0
11/30/22,150,0
12/01/22,134,0
12/02/22,137,0
12/03/22,100,0
12/04/22,105,0
