Year,Africa,Asia,Americas,Oceania,CFR
1989,34504,11501,0,0,0
1990,37042,33337,0,0,0.13
1991,151256,50762,388329,0,3.02
1992,90342,15228,352796,0,1.73
1993,75113,91372,208124,0,1.85
1994,158870,104062,116753,0,2.76
1995,70037,50762,83757,0,2.61
1996,105570,7615,27919,0,4.58
1997,115723,10152,20305,0,4.08
1998,209632,22843,58377,0,3.6
1999,204556,38072,7614,0,3.57
2000,115723,7614,0,0,3.28
2001,171561,10152,0,0,1.58
2002,136028,0,0,0,3
2003,105570,0,0,0,1.73
2004,92880,0,0,0,2.24
2005,123337,0,0,0,1.77
2006,232475,0,0,0,2.63
2007,163947,12690,0,0,2.29
2008,176637,7614,0,0,2.65
2009,214709,0,0,0,2.24
2010,113185,12690,177667,0,2.26
2011,186790,35533,362948,0,1.31
2012,115723,0,126905,0,1.24
2013,54808,10153,60914,0,1.58
2014,103032,53300,32996,0,1.16
2015,70037,60914,38072,0,0.71
2016,70037,15229,45685,0,1.73
2017,176637,1030468,12690,0,0.46
2018,118261,373100,0,0,0.56
2019,61154,856608,0,0,0.19
2020,44656,274115,0,0,0.31
2021,138566,83757,0,0,1.85
