Epidemiological week,Outside IDP,IDP,CFR [%]
15,0,0,
16,0,0,
17,0,0,
18,0,0,
19,0,0,
20,206,0,157
21,422,5,112
22,526,5,30
23,337,14,50
24,192,17,27
25,277,14,113
26,526,11,59
27,529,547,72
28,535,268,46
29,446,85,50
30,345,44,61
31,263,23,57
32,126,26,43
33,94,11,79
34,76,0,41
35,29,0,303
36,0,0,0
37,23,0,0
38,35,0,0
39,26,0,0
40,17,0,0
41,9,0,0
42,94,0,120
43,38,0,223
44,38,0,
45,0,0,
46,8,0,
47,0,0,
48,0,0,
49,0,0,
50,0,0,
51,0,0,
52,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,0,0,
6,0,0,
7,0,0,
8,0,0,
9,0,0,
10,0,0,
11,0,0,
12,0,0,
13,0,0,
14,0,0,
15,0,0,
16,0,0,
17,0,0,
18,0,0,
19,0,0,
20,0,0,
21,0,0,
22,0,0,
23,0,0,433
24,44,8,536
25,126,0,178
26,248,17,104
27,280,14,57
28,189,14,46
29,248,14,48
30,150,0,60
31,106,0,0
32,79,0,40
33,88,286,71
34,44,286,66
35,41,286,0
36,32,286,0
37,14,0,0
38,0,0,0
39,0,226,0
40,0,0,
41,0,0,
42,0,0,
43,0,0,
44,0,0,
45,0,0,
46,0,0,
47,0,0,
48,0,0,
