Date of onset,Cases
17 Feb,0
18 Feb,0
19 Feb,0
20 Feb,0
21 Feb,0
22 Feb,0
23 Feb,0
24 Feb,0
25 Feb,0
26 Feb,1
27 Feb,0
28 Feb,0
1 Mar,0
2 Mar,1
3 Mar,1
4 Mar,0
5 Mar,0
6 Mar,0
7 Mar,0
8 Mar,0
9 Mar,2
10 Mar,2
11 Mar,0
12 Mar,1
13 Mar,1
14 Mar,4
15 Mar,4
16 Mar,2
17 Mar,1
18 Mar,2
19 Mar,2
20 Mar,0
21 Mar,0
22 Mar,3
23 Mar,6
24 Mar,6
25 Mar,3
26 Mar,3
27 Mar,2
28 Mar,2
29 Mar,5
30 Mar,5
31 Mar,4
1 Apr,2
2 Apr,2
3 Apr,2
4 Apr,3
5 Apr,3
6 Apr,1
7 Apr,1
8 Apr,1
9 Apr,1
10 Apr,1
11 Apr,1
12 Apr,2
13 Apr,2
14 Apr,1
15 Apr,3
16 Apr,4
17 Apr,4
18 Apr,4
19 Apr,3
20 Apr,2
21 Apr,1
22 Apr,1
23 Apr,2
24 Apr,2
25 Apr,4
26 Apr,7
27 Apr,9
28 Apr,9
29 Apr,5
30 Apr,5
1 May,3
2 May,8
3 May,8
4 May,6
5 May,6
6 May,5
7 May,4
8 May,5
9 May,4
10 May,1
11 May,2
12 May,2
13 May,0
14 May,1
15 May,2
16 May,2
17 May,2
18 May,0
19 May,0
20 May,0
21 May,3
22 May,3
23 May,0
24 May,0
25 May,0
26 May,3
27 May,3
28 May,1
29 May,1
30 May,1
31 May,1
1 Jun,1
2 Jun,1
3 Jun,0
4 Jun,1
5 Jun,1
6 Jun,0
7 Jun,1
8 Jun,2
9 Jun,2
10 Jun,0
11 Jun,0
12 Jun,1
13 Jun,1
14 Jun,0
15 Jun,0
16 Jun,0
17 Jun,2
18 Jun,2
19 Jun,0
20 Jun,0
21 Jun,1
22 Jun,1
23 Jun,2
24 Jun,2
25 Jun,1
26 Jun,1
27 Jun,1
28 Jun,1
29 Jun,1
30 Jun,1
1 Jul,0
2 Jul,0
3 Jul,1
4 Jul,1
5 Jul,0
6 Jul,0
7 Jul,0
8 Jul,0
9 Jul,0
10 Jul,0
11 Jul,0
12 Jul,0
13 Jul,0
14 Jul,0
15 Jul,0
