Date (dd/mm/yyyy) of reporting,Cholera,Typhoid fever,Shigellosis
28/6/2023,0,0,1
30/6/2023,0,6,13
02/07/23,0,34,52
03/07/23,0,3,15
04/07/23,0,4,20
05/07/23,0,4,11
06/07/23,0,9,11
07/07/23,0,34,50
08/07/23,0,12,23
09/07/23,0,24,23
10/07/23,0,19,2
11/07/23,0,8,17
12/07/23,0,29,45
13/7/2023,6,39,58
14/7/2023,3,20,53
15/7/2023,1,19,49
16/7/2023,1,28,76
17/7/2023,1,9,52
18/7/2023,21,0,59
19/7/2023,7,10,47
20/7/2023,3,31,15
21/7/2023,7,25,88
22/7/2023,3,18,53
23/7/2023,0,29,27
24/7/2023,3,34,17
25/7/2023,0,13,9
26/7/2023,0,65,7
27/7/2023,0,55,7
28/7/2023,0,55,16
29/7/2023,0,54,20
30/7/2023,0,41,7
31/7/2023,0,30,4
01/08/23,0,34,4
02/08/23,0,17,2
03/08/23,0,30,0
04/08/23,0,30,3
05/08/23,0,13,4
06/08/23,0,18,3
07/08/23,0,15,3
08/08/23,0,11,1
09/08/23,0,12,2
10/08/23,0,23,1
11/08/23,0,6,5
12/08/23,0,8,1
13/8/2023,0,6,1
14/8/2023,0,12,2
15/8/2023,0,9,0
16/8/2023,0,6,2
17/8/2023,0,27,1
18/8/2023,0,10,0
19/8/2023,0,10,5
20/8/2023,0,4,1
21/8/2023,0,10,3
22/8/2023,0,5,1
23/8/2023,0,4,2
24/8/2023,0,12,0
25/8/2023,0,2,0
26/8/2023,0,18,1
27/8/2023,0,6,1
28/8/2023,0,7,0
29/8/2023,0,3,0
