Week of illness onset,Katwa & Butembo,Beni,Mabalako,Mandima,Kalunguta,Other health zones*
30 avr,0,0,0,0,0,0
14 mai,0,0,0,0,0,0
28 mai,0,0,2,0,0,0
11 juin,0,0,0,0,0,0
25 juin,0,0,1,2,0,0
09 juil,90,9,9,9,10,0
23 juil,0,0,6,12,0,0
06 août,0,0,31,9,0,0
20 août,0,5,3,0,0,6
03 sept,1,4,7,0,0,0
17 sept,1,8,2,0,0,11
01 oct,4,25,1,0,1,3
15 oct,4,29,0,0,7,2
29 oct,8,16,0,0,12,1
12 nov,18,16,1,0,5,7
26 nov,18,10,6,0,2,18
10 déc,13,4,8,0,0,14
24 déc,18,1,3,0,1,6
07 janv,27,0,1,0,0,13
21 janv,34,0,0,0,0,6
04 févr,20,0,0,0,0,9
18 févr,16,0,0,12,3,0
04 mars,16,0,0,20,0,2
18 mars,31,9,0,10,0,23
01 avr,59,5,3,9,1,20
15 avr,49,6,13,19,7,17
29 avr,34,17,19,8,11,19
13 mai,38,4,26,5,10,15
27 mai,8,3,24,32,10,1
10 juin,8,19,29,11,3,26
24 juin,8,32,14,2,15,8
08 juil,9,42,13,15,2,9
22 juil,12,21,4,32,0,17
05 août,13,27,2,7,5,18
19 août,6,8,1,16,6,26
02 sept,7,0,0,13,3,24
16 sept,2,0,0,3,1,16
30 sept,0,1,1,9,3,6
14 oct,1,1,4,9,1,6
28 oct,0,4,7,5,0,1
11 nov,0,1,7,0,0,0
25 nov,0,2,1,24,0,2
09 déc,2,0,24,0,0,0
23 déc,4,1,7,0,0,0
06 janv,4,0,7,0,0,1
20 janv,0,8,0,0,0,0
03 févr,0,1,0,0,0,0
17 févr,0,0,0,0,0,0
02 mars,0,0,0,0,0,0
