Date,Daily rain,Mirebalais,Seven Communes,Other Communes
09/15/10,10,0,0,0
09/16/10,0,0,0,0
09/17/10,1,0,0,0
09/18/10,0,0,0,0
09/19/10,0,0,0,0
09/20/10,0,0,0,0
09/21/10,8,0,0,0
09/22/10,1,0,0,0
09/23/10,0,0,0,0
09/24/10,1,0,0,0
09/25/10,90,0,0,0
09/26/10,4,0,0,0
09/27/10,94,0,0,0
09/28/10,12,0,0,0
09/29/10,0,0,0,0
09/30/10,4,0,0,0
10/01/10,87,0,0,0
10/02/10,2,0,0,0
10/03/10,96,0,0,0
10/04/10,1,0,0,0
10/05/10,30,0,0,0
10/06/10,12,0,0,0
10/07/10,2,0,0,0
10/08/10,0,0,0,0
10/09/10,103,0,0,0
10/10/10,1,0,0,0
10/11/10,8,0,0,0
10/12/10,0,0,0,0
10/13/10,10,0,0,0
10/14/10,8,0,0,0
10/15/10,0,0,0,0
10/16/10,1,65,0,0
10/17/10,3,60,0,0
10/18/10,16,310,0,0
10/19/10,2,333,0,0
10/20/10,10,357,1093,42
10/21/10,2,333,1921,140
10/22/10,0,284,1827,301
10/23/10,0,138,1929,390
10/24/10,0,374,1599,252
10/25/10,0,260,1161,410
10/26/10,0,374,1096,300
10/27/10,1,337,865,454
10/28/10,1,244,649,284
10/29/10,0,357,723,447
10/30/10,0,179,653,419
10/31/10,0,114,471,381
11/01/10,3,114,544,460
11/02/10,0,73,589,467
11/03/10,0,268,586,502
11/04/10,3,219,658,444
11/05/10,99,219,658,1927
11/06/10,37,219,658,385
11/07/10,0,195,698,845
11/08/10,0,146,841,1579
11/09/10,0,219,967,1218
11/10/10,0,276,942,1446
11/11/10,0,252,812,1555
11/12/10,0,268,715,1697
11/13/10,0,179,682,1616
11/14/10,0,179,714,1730
11/15/10,0,179,836,2095
11/16/10,0,138,585,1803
11/17/10,0,219,613,1791
11/18/10,0,162,610,1989
11/19/10,0,138,617,2168
11/20/10,0,138,540,1791
11/21/10,0,106,527,1998
11/22/10,0,162,516,1791
11/23/10,0,122,430,2063
11/24/10,0,122,402,2091
11/25/10,0,106,292,1616
11/26/10,0,114,316,1795
11/27/10,0,0,414,1787
11/28/10,0,20,410,1641
11/29/10,0,0,317,1583
11/30/10,0,0,284,1446
