Date of report,Suspected cases,Cumulative cases
2022-10-01,7,0
2022-10-02,8,0
2022-10-03,29,0
2022-10-04,70,3
2022-10-05,43,5
2022-10-06,134,6
2022-10-07,135,9
2022-10-08,136,14
2022-10-09,206,17
2022-10-10,206,22
2022-10-11,257,28
2022-10-12,257,36
2022-10-13,187,43
2022-10-14,167,48
2022-10-15,151,53
2022-10-16,160,57
2022-10-17,164,62
2022-10-18,164,67
2022-10-19,188,72
2022-10-20,204,78
2022-10-21,219,85
2022-10-22,219,91
2022-10-23,207,99
2022-10-24,207,105
2022-10-25,265,111
2022-10-26,265,120
2022-10-27,332,128
2022-10-28,378,138
2022-10-29,378,151
2022-10-30,302,161
2022-10-31,315,170
2022-11-01,369,181
2022-11-02,369,193
2022-11-03,440,204
2022-11-04,440,218
2022-11-05,410,232
2022-11-06,358,242
2022-11-07,411,255
2022-11-08,428,268
2022-11-09,428,282
2022-11-10,337,293
2022-11-11,324,303
2022-11-12,306,313
2022-11-13,291,322
2022-11-14,299,331
2022-11-15,299,341
2022-11-16,294,351
2022-11-17,292,359
2022-11-18,292,368
2022-11-19,236,375
2022-11-20,180,380
2022-11-21,179,386
2022-11-22,183,392
2022-11-23,183,398
2022-11-24,157,403
2022-11-25,157,408
2022-11-26,135,413
2022-11-27,162,417
2022-11-28,161,421
2022-11-29,140,426
2022-11-30,131,430
2022-12-01,73,434
2022-12-02,84,437
2022-12-03,52,439
2022-12-04,36,440
2022-12-05,6,441
