Epi weeks,Number of suspected cases
17,3134
18,3339
19,11639
20,22294
21,28954
22,31413
23,38534
24,44631
25,47500
26,50420
27,50471
28,47705
29,42787
30,42684
31,38073
32,37971
33,36895
34,38381
35,38278
36,40532
37,40328
38,37459
39,35922
40,33565
41,30696
42,22704
43,22602
44,21167
45,17786
46,16557
47,16147
48,14405
49,10511
50,10819
51,10819
52,10511
1,8872
2,8257
3,6208
4,4979
5,4569
6,4261
7,4261
8,4466
9,4159
10,3954
11,3339
12,2007
13,1700
14,1700
15,1700
16,1495
17,1495
18,2007
19,2007
20,1495
21,2315
22,2007
23,2212
24,2007
25,2212
26,2212
27,2827
28,2520
29,3544
30,3954
31,4466
32,6925
33,7233
34,7950
35,9384
36,12458
37,13893
38,15327
39,13893
40,13278
41,14405
42,14303
43,13585
44,12766
45,14405
46,13585
47,13585
48,12458
49,11639
50,12151
51,10819
52,10716
1,9384
2,8360
3,8872
4,8872
5,7950
6,7233
7,6720
8,8257
9,11639
10,14405
11,24344
12,25881
13,26495
14,32489
15,29672
16,26700
17,23217
18,19323
19,18196
20,18196
21,17786
22,15737
23,17274
24,20143
25,21270
26,21987
27,22294
28,20962
29,20758
30,20655
31,18606
32,12766
33,16864
34,17991
35,19323
36,19630
37,21987
38,19630
39,17376
40,16557
41,14405
42,14405
43,12766
44,12663
45,11639
46,11639
47,11639
48,10614
49,10102
50,10614
51,9487
52,8872
