source,country,years,link,num_series,series_len,annotation_time,chart_type,resolution
EMRO,Iraq,1991-1999,https://applications.emro.who.int/emhj/1101_2/11_1-2_2005_6_13.pdf,1,9,6,line,875x506
publication,India,2013,https://www.sciencedirect.com/science/article/pii/S1876034112001062,1,9,14,line,415x209
textbook,India,2009,https://www.jaypeedigital.com/book/9788184486391/chapter/ch5,1,14,8,line,500x310
publication,Benin,2016,https://www.scirp.org/journal/paperinformation?paperid=133381,1,13,11,line,454x215
publication,Nigeria,2019,https://www.researchgate.net/figure/Epidemic-curve-of-cholera-cases-by-week-of-onset-in-Bauchi-State-from-11th-February-2019_fig1_369066132,2,29,13,bar,685x382
publication,DRC,2000-2021,https://www.researchgate.net/figure/Annual-number-of-suspected-cholera-cases-and-case-fatality-rate-in-the-DRC-from-2000-to_fig1_373297302,2,22,14,hybrid,685x346
EMRO,Lebanon,2022,https://www.emro.who.int/images/stories/WHO_Lebanon_Cholera_Sitrep_10.pdf,1,10,14,bar,772x327
WHO,multiple,2022,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON400,2,17,6,bar,720x394
AFRO,South Africa,2023,https://apps.who.int/iris/bitstream/handle/10665/366571/AFRO%20Cholera%20Bulletin.04.pdf,1,36,13,bar,1261x575
AFRO,Cameroon,2018,http://apps.who.int/iris/bitstream/handle/10665/275136/OEW39-2228092018.pdf?ua=1,2,19,10,bar,781x309
WHO,Haiti,2022,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON415,1,7,12,bar,753x450
WHO,Angola,2025,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20250512_multi-country_outbreak-of-cholera_sitrep_26.pdf?download=true&sfvrsn=846e10ac_4,1,16,9,bar,891x575
textbook,India,2000,https://www.indianpediatrics.net/jan2000/essential.htm,1,12,14,bar,361x200
PAHO,Haiti,2022,https://www.paho.org/sites/default/files/2022-10/paho-sitrep-n2-cholerain-haiti-19102022.pdf,1,18,10,bar,700x608
EMRO,Yemen,2016-2018,http://www.emro.who.int/images/stories/csr/cholera_situation_update_yemen_april_2018.pdf?ua=1&ua=1,1,25,4,bar,447x303
EMRO,Iraq,2015,https://www.emro.who.int/images/stories/iraq/SITREP_20_-Final.pdf,2,12,11,hybrid,1289x555
PAHO,Haiti,2022,https://www.paho.org/sites/default/files/2023-01/2022-october-14-phe-update-cholera-final.pdf,1,13,11,bar,798x470
AFRO,South Sudan,2023,https://apps.who.int/iris/bitstream/handle/10665/366682/AFRO%20Cholera%20Bulletin.05.pdf,2,5,12,hybrid,1300x678
WHO,Zimbabwe,2023,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20230504_multi-country_outbreak-of-cholera_sitrep-2_updated.pdf?download=true&sfvrsn=ae4ad6cd_3,1,10,16,bar,1025x561
EMRO,Iraq,2015,https://www.emro.who.int/images/stories/iraq/SITREP__13__6_Oct_15.comp.pdf,1,23,8,bar,1275x500
EMRO,Iraq,2015,https://www.emro.who.int/images/stories/iraq/SITREP_21.pdf,1,13,13,line,1336x505
DON,Angola,2025,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON562,2,12,9,bar,853x527
